"imported_at"	"source"	"archive_path"	"length"	"last_write_time"	"sha256"
"2026-07-01T21:41:17.5330389-04:00"	"C:\Projects\3D Primitve math engine\experiments\engine-mix-arc\arc_mix2.log"	"C:\Projects\3D Primitve math engine\experiments\sim-outputs\imported\experiments\engine-mix-arc\arc_mix2.log"	"12540"	"2026-07-01T15:14:47.3177608-04:00"	"F9EA619EEBD16B4946449EEF5EE6A39BAA8BF196582D5FE655EE7E78B4F4E80B"
"2026-07-01T21:41:17.5410382-04:00"	"C:\Projects\3D Primitve math engine\experiments\engine-mix-arc\arc_mix2.err"	"C:\Projects\3D Primitve math engine\experiments\sim-outputs\imported\experiments\engine-mix-arc\arc_mix2.err"	"0"	"2026-07-01T15:14:47.3287599-04:00"	"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"2026-07-01T21:41:17.5540395-04:00"	"C:\Projects\3D Primitve math engine\experiments\engine-mix-arc\RUN_NOTES.md"	"C:\Projects\3D Primitve math engine\experiments\sim-outputs\imported\experiments\engine-mix-arc\RUN_NOTES.md"	"2205"	"2026-07-01T20:54:21.4499641-04:00"	"BCF10B39A2E36E01F260A15FE1FF3AB06343F12C6237214CAC54439538D3EA8B"
"2026-07-01T21:41:17.5680389-04:00"	"C:\Projects\3D Primitve math engine\experiments\rf-crypto-arc\RUN_NOTES.md"	"C:\Projects\3D Primitve math engine\experiments\sim-outputs\imported\experiments\rf-crypto-arc\RUN_NOTES.md"	"3234"	"2026-07-01T20:57:33.9979368-04:00"	"970B179F6220435DBDAB765A2991A8E969A7F4F9A4478D021F9DEF2DAE960EA9"
"2026-07-01T21:41:17.5820375-04:00"	"C:\Projects\3D Primitve math engine\experiments\wide-net\discoveries.txt"	"C:\Projects\3D Primitve math engine\experiments\sim-outputs\imported\experiments\wide-net\discoveries.txt"	"463654"	"2026-07-01T15:14:47.3777599-04:00"	"5F42CA5BBE4B593A8B680B48E1ED7DF296664A65B6503C224DAA24DFC642F3D5"
"2026-07-01T21:41:17.6263976-04:00"	"C:\Projects\3D Primitve math engine\experiments\wide-net\widesmoke.txt"	"C:\Projects\3D Primitve math engine\experiments\sim-outputs\imported\experiments\wide-net\widesmoke.txt"	"14621890"	"2026-07-01T15:14:47.4157596-04:00"	"62FADEABC937FD5CE8E38896BB903575710E59421181E9ADDD668C710ECB6BB8"
"2026-07-01T21:41:17.6483962-04:00"	"C:\Projects\3D Primitve math engine\experiments\wide-net\widesmoke2.txt"	"C:\Projects\3D Primitve math engine\experiments\sim-outputs\imported\experiments\wide-net\widesmoke2.txt"	"460493"	"2026-07-01T15:14:47.4407597-04:00"	"99A2E96E517C556E2D0CA63D11C7CD0B916D10F58F9E98BE87E1B4E35A274800"
"2026-07-01T21:41:17.6673966-04:00"	"C:\Projects\3D Primitve math engine\experiments\discovery-tpu\WRITEUP.md"	"C:\Projects\3D Primitve math engine\experiments\sim-outputs\imported\experiments\discovery-tpu\WRITEUP.md"	"18255"	"2026-07-01T15:14:47.2235598-04:00"	"B9199FF6390A7A96B546FD45FF2A161BF123496EEF809EDFAFA519996D1BB37E"
"2026-07-01T21:41:17.6843968-04:00"	"C:\Projects\3D Primitve math engine\experiments\discovery-tpu\CROSS_DOMAIN_TRANSFER_NOTES.md"	"C:\Projects\3D Primitve math engine\experiments\sim-outputs\imported\experiments\discovery-tpu\CROSS_DOMAIN_TRANSFER_NOTES.md"	"45641"	"2026-07-01T19:03:27.1400375-04:00"	"0CC401C7FED0AE765E41AF6746292473B1B6FD7031F25A5FE96F025ABC47B239"
"2026-07-01T21:41:17.7013959-04:00"	"C:\Projects\3D Primitve math engine\experiments\PRIMITIVE_SIM_EXPERIMENT_REPORT.md"	"C:\Projects\3D Primitve math engine\experiments\sim-outputs\imported\experiments\PRIMITIVE_SIM_EXPERIMENT_REPORT.md"	"16129"	"2026-07-01T21:10:06.2976294-04:00"	"24B4BFBA303AC8F471CF7C565EE7337DC4005FE6300A7102604DF850EAA41CEA"
"2026-07-01T21:41:17.7153958-04:00"	"C:\Projects\3D Primitve math engine\MM3E_3D_RENDERER_REPORT.md"	"C:\Projects\3D Primitve math engine\experiments\sim-outputs\imported\MM3E_3D_RENDERER_REPORT.md"	"20127"	"2026-07-01T21:23:33.9203045-04:00"	"069B772C3057CFD8AA4F2C95BF8152FD0C5B120D73332DE38867E2655DF25075"
