timestamp	category	name	exit_code	sha256	path	command
20260701-214125	rf-transport	rf-crypto-self-repair-arc-xpu-32768	0	EEA30EC0CD6A91A69D132141B98B90A78B59960522EF903506D840ADA02E3A50	C:\Projects\3D Primitve math engine\experiments\sim-outputs\runs\20260701-214125-rf-crypto-self-repair-arc-xpu-32768.log	& 'C:\Projects\discovery-search-12h-gpu\.venv-arc\Scripts\python.exe' 'experiments\rf-crypto-arc\rf_crypto_self_repair.py' --trials 32768 --k 48 --m 28 --extra 24
20260701-214215	rf-transport-rust	spiderweb-rf-fortify-release	-196608	E2C622919A988255A05A2F9453A6FF10885E8220BEFD91D2D35489520C6D461C	C:\Projects\3D Primitve math engine\experiments\sim-outputs\runs\20260701-214215-spiderweb-rf-fortify-release.log	cargo run -p spiderweb-rf --example fortify --release
20260701-214235	rf-transport-rust	spiderweb-rf-fortify-release	0	7680AB8C18D84C2FA1C7F3B6A4E7FC9D67999E828F6C3A0908336F733A3EC61A	C:\Projects\3D Primitve math engine\experiments\sim-outputs\runs\20260701-214235-spiderweb-rf-fortify-release.log	cargo run -p spiderweb-rf --example fortify --release
20260701-214248	rf-transport-rust	spiderweb-rf-chaos-release	0	08E7ACAB49EA5CB96650A09F6C8B290C6149A2F1E831B6901A31C96BF6009347	C:\Projects\3D Primitve math engine\experiments\sim-outputs\runs\20260701-214248-spiderweb-rf-chaos-release.log	cargo run -p spiderweb-rf --example chaos --release
20260701-214304	renderer-validation	mm3e-tpu-signals-real-release	0	88C90BC0F332B009165F34C003D5922CFBDA9A1503B6AC17E48C3B596BAAF456	C:\Projects\3D Primitve math engine\experiments\sim-outputs\runs\20260701-214304-mm3e-tpu-signals-real-release.log	cargo run -p mm3e-orchestrator --example tpu_signals_real --release
20260701-214319	renderer-validation	mm3e-stoch-subitize-real-release	0	D2A919D088E0BC3563E7FB3055F0C1ADC3836832E8301A7F2952E74C17312F55	C:\Projects\3D Primitve math engine\experiments\sim-outputs\runs\20260701-214319-mm3e-stoch-subitize-real-release.log	cargo run -p mm3e-orchestrator --example stoch_subitize_real --release
20260701-214330	renderer-validation	mm3e-dual-normal-real-release	0	A2B7B07C0BE9D5A8054184ECACC978C34D5C8F56B95E7405C50311260DF7A2D7	C:\Projects\3D Primitve math engine\experiments\sim-outputs\runs\20260701-214330-mm3e-dual-normal-real-release.log	cargo run -p mm3e-orchestrator --example dual_normal_real --release
20260702-141214	pmre-verification	pmre-cargo-tree	0	1EE4AC540BA63EB7AD367C02527A4CC34661AD92BC4DC28C4C4C42599942441B	C:\Projects\3D Primitve math engine\experiments\sim-outputs\runs\20260702-141214-pmre-cargo-tree.log	cargo tree
20260702-141214	pmre-verification	pmre-cargo-clippy-workspace	0	0EC27EB095A515D890E216EF40475821CCF8FD0D53358D1587E27313431030F0	C:\Projects\3D Primitve math engine\experiments\sim-outputs\runs\20260702-141214-pmre-cargo-clippy-workspace.log	cargo clippy --workspace --all-targets -- -D warnings
20260702-141214	pmre-verification	pmre-cargo-test-workspace	0	4D9D8125B423398ABA69A1A09527BD6BE4F8B861F582702EBE2F6451893532DA	C:\Projects\3D Primitve math engine\experiments\sim-outputs\runs\20260702-141214-pmre-cargo-test-workspace.log	cargo test --workspace
