"ArchivePath","Source","MB"
"small-model-memory-lab\.gitignore","C:\Projects\small-model-memory-lab\.gitignore","0"
"small-model-memory-lab\CYBER_MEMORY_LORA_RESULTS.csv","C:\Projects\small-model-memory-lab\CYBER_MEMORY_LORA_RESULTS.csv","0.001"
"small-model-memory-lab\CYBER_MEMORY_LORA_RESULTS.json","C:\Projects\small-model-memory-lab\CYBER_MEMORY_LORA_RESULTS.json","0.003"
"small-model-memory-lab\KAGGLE_PROJECT_OVERVIEW.md","C:\Projects\small-model-memory-lab\KAGGLE_PROJECT_OVERVIEW.md","0.004"
"small-model-memory-lab\README.md","C:\Projects\small-model-memory-lab\README.md","0.017"
"small-model-memory-lab\STRUCTURAL_PRIMITIVE_LORA_RESULTS.csv","C:\Projects\small-model-memory-lab\STRUCTURAL_PRIMITIVE_LORA_RESULTS.csv","0.001"
"small-model-memory-lab\STRUCTURAL_PRIMITIVE_LORA_RESULTS.json","C:\Projects\small-model-memory-lab\STRUCTURAL_PRIMITIVE_LORA_RESULTS.json","0.002"
"small-model-memory-lab\THEORY_OF_APPROACH.md","C:\Projects\small-model-memory-lab\THEORY_OF_APPROACH.md","0.015"
"small-model-memory-lab\TODO.md","C:\Projects\small-model-memory-lab\TODO.md","0.006"
"small-model-memory-lab\assets\kaggle_cover.png","C:\Projects\small-model-memory-lab\assets\kaggle_cover.png","0.056"
"small-model-memory-lab\benchmarks\capability_tasks.json","C:\Projects\small-model-memory-lab\benchmarks\capability_tasks.json","0.005"
"small-model-memory-lab\benchmarks\computation_damage_tasks.json","C:\Projects\small-model-memory-lab\benchmarks\computation_damage_tasks.json","0.007"
"small-model-memory-lab\corpus\cognitive_core_v0_1.json","C:\Projects\small-model-memory-lab\corpus\cognitive_core_v0_1.json","0.01"
"small-model-memory-lab\corpus\cognitive_rewards_v0_1.json","C:\Projects\small-model-memory-lab\corpus\cognitive_rewards_v0_1.json","0.005"
"small-model-memory-lab\corpus\computation_primitives_v0_1.json","C:\Projects\small-model-memory-lab\corpus\computation_primitives_v0_1.json","0.014"
"small-model-memory-lab\corpus\librarian_core_v0_1.full30.bak","C:\Projects\small-model-memory-lab\corpus\librarian_core_v0_1.full30.bak","0.016"
"small-model-memory-lab\corpus\librarian_core_v0_1.json","C:\Projects\small-model-memory-lab\corpus\librarian_core_v0_1.json","0.008"
"small-model-memory-lab\corpus\rust_cyber_defender_generated.tsv","C:\Projects\small-model-memory-lab\corpus\rust_cyber_defender_generated.tsv","0.182"
"small-model-memory-lab\corpus\structural_primitives_lora_v0_1.json","C:\Projects\small-model-memory-lab\corpus\structural_primitives_lora_v0_1.json","0.096"
