"Source","RelativePath","MB","Reason"
"C:\Projects\small-model-memory-lab","models\Qwen_Qwen3.5-27B-GGUF\Qwen_Qwen3.5-27B-Q3_K_M.gguf","14131.61","excluded directory"
"C:\Projects\small-model-memory-lab","models\Qwen_Qwen3.5-27B-GGUF\Qwen_Qwen3.5-27B-Q2_K.gguf","11493.47","excluded directory"
"C:\Projects\small-model-memory-lab","models\qwen3.5-9b-haskell-rust-python-q6_k.gguf","7208.72","excluded directory"
"C:\Projects\small-model-memory-lab","models\aroow-rust-coder-9b-q4_k_s.gguf","5103.7","excluded directory"
"C:\Projects\small-model-memory-lab","models\Qwen_Qwen3.5-9B-GGUF\Qwen_Qwen3.5-9B-Q3_K_M.gguf","4938.84","excluded directory"
"C:\Projects\small-model-memory-lab","models\Qwen_Qwen3.5-4B-GGUF\Qwen_Qwen3.5-4B-Q8_0.gguf","4408.01","excluded directory"
"F:\all memory\lora-test","Qwen3.5-2B-Base\model.safetensors-00001-of-00001.safetensors","4337.52","excluded directory"
"C:\Projects\small-model-memory-lab","models\Qwen.Qwen3-1.7B-Base.f16.gguf","3287.65","excluded directory"
"C:\Projects\small-model-memory-lab","models\Qwen_Qwen3.5-4B-GGUF\Qwen_Qwen3.5-4B-Q4_K_M.gguf","2873.45","excluded directory"
"C:\Projects\small-model-memory-lab","models\mellum-4b-sft-rust.Q4_K_M.gguf","2484.48","excluded directory"
"F:\all primitves\primitves math","embedding-and-reranker-primitives\models\weights\BAAI_bge-reranker-v2-m3\model.safetensors","2165.86","excluded directory"
"C:\Projects\small-model-memory-lab","models\Qwen.Qwen3-1.7B-Base.Q8_0.gguf","1749.45","excluded directory"
"F:\all primitves\primitves math","embedding-and-reranker-primitives\models\weights\mixedbread-ai_mxbai-embed-large-v1\model.safetensors","639.27","excluded directory"
"F:\all memory\Rust Simulation for Synthetic Memory Specialist","_kaggle\out_reward9b\reward-mem-lora-9b-v0-1\checkpoint-40\optimizer.pt","222.21","excluded directory"
"F:\all memory\Rust Simulation for Synthetic Memory Specialist","_kaggle\out_reward\reward-mem-lora-v0-1\checkpoint-40\optimizer.pt","162.21","excluded directory"
"C:\Projects\small-model-memory-lab","runs\kaggle-ordo-rust-lora-v0-1\ordo-rust-memory-lora-v0-1\checkpoint-70\optimizer.pt","133.31","excluded directory"
"C:\Projects\small-model-memory-lab","runs\kaggle-ordo-rust-lora-v0-2\ordo-rust-memory-lora-v0-2\checkpoint-210\optimizer.pt","133.31","excluded directory"
"C:\Projects\small-model-memory-lab","runs\kaggle-ordo-rust-lora-v0-2\ordo-rust-memory-lora-v0-2\checkpoint-260\optimizer.pt","133.31","excluded directory"
"C:\Projects\small-model-memory-lab","runs\kaggle-ordo-rust-lora-v0-1\ordo-rust-memory-lora-v0-1\checkpoint-140\optimizer.pt","133.31","excluded directory"
"F:\all memory\Rust Simulation for Synthetic Memory Specialist","_kaggle\out_reward9b\reward-mem-lora-9b-v0-1\checkpoint-40\adapter_model.safetensors","111.03","excluded directory"
"F:\all memory\Rust Simulation for Synthetic Memory Specialist","_kaggle\out_reward9b\reward-mem-lora-9b-v0-1\adapter_model.safetensors","111.03","excluded directory"
"C:\Projects\small-model-memory-lab","runs\three-dataset-stack-sim\trial_rows.csv","94.03","over 25 MB non-adapter file"
"F:\all memory\Rust Simulation for Synthetic Memory Specialist","_kaggle\out3\ordo-rust-memory-lora-v0-3\checkpoint-45\optimizer.pt","81.21","excluded directory"
"F:\all memory\Rust Simulation for Synthetic Memory Specialist","_kaggle\out_reward\reward-mem-lora-v0-1\checkpoint-40\adapter_model.safetensors","81.03","excluded directory"
"F:\all memory\Rust Simulation for Synthetic Memory Specialist","_kaggle\out_reward\reward-mem-lora-v0-1\adapter_model.safetensors","81.03","excluded directory"
"C:\Projects\small-model-memory-lab","runs\kaggle-ordo-rust-lora-v0-3\ordo-rust-memory-lora-v0-3\checkpoint-90\optimizer.pt","66.81","excluded directory"
"C:\Projects\small-model-memory-lab","runs\kaggle-ordo-rust-lora-v0-3\ordo-rust-memory-lora-v0-3\checkpoint-70\optimizer.pt","66.81","excluded directory"
"C:\Projects\small-model-memory-lab","runs\kaggle-lora-v4\rust-cyber-memory-lora\adapter_model.safetensors","66.55","non-canonical safetensors"
"C:\Projects\small-model-memory-lab","kaggle_export\small-model-memory-lab\loras\structural-primitive-lora-v0-2\adapter_model.safetensors","66.55","excluded directory"
"C:\Projects\small-model-memory-lab","kaggle_export\small-model-memory-lab\loras\rust-cyber-memory-lora\adapter_model.safetensors","66.55","excluded directory"
"C:\Projects\small-model-memory-lab","runs\kaggle-ordo-rust-lora-v0-1\ordo-rust-memory-lora-v0-1\adapter_model.safetensors","66.55","non-canonical safetensors"
"C:\Projects\small-model-memory-lab","kaggle_export\small-model-memory-lab\loras\ordo-rust-memory-lora-v0-1\adapter_model.safetensors","66.55","excluded directory"
"C:\Projects\small-model-memory-lab","runs\kaggle-structural-lora-v0-2\structural-primitive-lora-v0-2\adapter_model.safetensors","66.55","non-canonical safetensors"
"C:\Projects\small-model-memory-lab","runs\kaggle-ordo-rust-lora-v0-2\ordo-rust-memory-lora-v0-2\checkpoint-260\adapter_model.safetensors","66.55","excluded directory"
"C:\Projects\small-model-memory-lab","runs\kaggle-ordo-rust-lora-v0-1\ordo-rust-memory-lora-v0-1\checkpoint-140\adapter_model.safetensors","66.55","excluded directory"
"C:\Projects\small-model-memory-lab","runs\kaggle-ordo-rust-lora-v0-2\ordo-rust-memory-lora-v0-2\adapter_model.safetensors","66.55","non-canonical safetensors"
"C:\Projects\small-model-memory-lab","runs\kaggle-ordo-rust-lora-v0-2\ordo-rust-memory-lora-v0-2\checkpoint-210\adapter_model.safetensors","66.55","excluded directory"
"C:\Projects\small-model-memory-lab","runs\kaggle-ordo-rust-lora-v0-1\ordo-rust-memory-lora-v0-1\checkpoint-70\adapter_model.safetensors","66.55","excluded directory"
"F:\all memory\Rust Simulation for Synthetic Memory Specialist","_kaggle\out3\ordo-rust-memory-lora-v0-3\adapter_model.safetensors","40.53","excluded directory"
"F:\all memory\Rust Simulation for Synthetic Memory Specialist","_kaggle\out3\ordo-rust-memory-lora-v0-3\checkpoint-45\adapter_model.safetensors","40.53","excluded directory"
"C:\Projects\small-model-memory-lab","runs\kaggle-ordo-rust-lora-v0-3\ordo-rust-memory-lora-v0-3\checkpoint-70\adapter_model.safetensors","33.3","excluded directory"
"C:\Projects\small-model-memory-lab","runs\kaggle-ordo-rust-lora-v0-3\ordo-rust-memory-lora-v0-3\adapter_model.safetensors","33.3","non-canonical safetensors"
"C:\Projects\small-model-memory-lab","runs\kaggle-ordo-rust-lora-v0-3\ordo-rust-memory-lora-v0-3\checkpoint-90\adapter_model.safetensors","33.3","excluded directory"
