model,substrate,quant,stack,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,base,base_f16,cognitive_25_structural_75,4800,0.9715,0.8644,0.9763,0.9906,0.0152,0.0206,0.0977,0.049,0.8454,none
27b,base,collapsed_q2_edge,tri_stability_70,4800,0.5846,0.429,0.7575,0.8652,0.1698,0.0346,0.3698,0.6948,0.3068,none
27b,base,damaged_q2,tri_routed_72_18_10,4800,0.8483,0.5962,0.9164,0.9625,0.1054,0.0385,0.3208,0.1031,0.5261,none
27b,base,damaged_q3,tri_routed_72_18_10,4800,0.9169,0.7123,0.9514,0.9879,0.0656,0.039,0.215,0.05,0.6651,none
27b,base,damaged_q4,cognitive_25_structural_75,4800,0.9296,0.7667,0.9586,0.9896,0.0508,0.0169,0.1806,0.0512,0.731,none
27b,base,healthy_q6,structural_only,4800,0.9504,0.8142,0.9679,0.9919,0.0319,0.0142,0.1415,0.0515,0.7879,none
27b,base,healthy_q8,structural_only,4800,0.9571,0.8315,0.9701,0.9869,0.0273,0.0177,0.1246,0.0469,0.8074,none
27b,base,q1_k_m,tri_stability_70,4800,0.25,0.1852,0.5209,0.7219,0.2712,0.0369,0.4562,1.6004,-0.0201,cascade
27b,base,q8_k_m,cognitive_25_structural_75,4800,0.9669,0.8488,0.9739,0.9915,0.019,0.0202,0.114,0.05,0.8274,none
27b,degraded_instruct,base_f16,cognitive_25_structural_75,4800,0.9652,0.8583,0.9747,0.9894,0.0177,0.03,0.0896,0.0533,0.8372,none
27b,degraded_instruct,collapsed_q2_edge,tri_routed_72_18_10,4800,0.5631,0.394,0.7476,0.8565,0.1794,0.0415,0.3904,0.7144,0.2649,none
27b,degraded_instruct,damaged_q2,tri_routed_72_18_10,4800,0.8408,0.591,0.9106,0.9504,0.1019,0.0394,0.3287,0.1229,0.5202,none
27b,degraded_instruct,damaged_q3,tri_stability_70,4800,0.9123,0.7025,0.9502,0.9898,0.0671,0.0452,0.2125,0.0563,0.6535,none
27b,degraded_instruct,damaged_q4,structural_only,4800,0.931,0.754,0.9588,0.9915,0.0508,0.014,0.196,0.046,0.7179,none
27b,degraded_instruct,healthy_q6,structural_only,4800,0.9417,0.8102,0.9659,0.9915,0.0392,0.0148,0.1371,0.0483,0.7821,none
27b,degraded_instruct,healthy_q8,structural_only,4800,0.961,0.8456,0.9722,0.9883,0.0267,0.0154,0.1148,0.0425,0.8232,none
27b,degraded_instruct,q1_k_m,tri_routed_72_18_10,4800,0.2398,0.17,0.5077,0.7042,0.2804,0.0413,0.4725,1.634,-0.0419,cascade
27b,degraded_instruct,q8_k_m,structural_only,4800,0.9667,0.8575,0.9749,0.99,0.0169,0.0152,0.1094,0.0479,0.8382,none
