model,substrate,quant,stack,family,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,base,base_f16,baseline,adversarial,480,0.8542,0.7708,0.9088,0.9396,0.0292,0.0104,0.0938,0.3479,0.7351,none
27b,base,base_f16,baseline,boundary,480,0.8583,0.7583,0.9106,0.9521,0.0229,0.0292,0.0938,0.3375,0.7213,none
27b,base,base_f16,baseline,coding,480,0.875,0.7792,0.916,0.9563,0.0125,0.0187,0.0958,0.3229,0.7479,none
27b,base,base_f16,baseline,epistemic,480,0.875,0.8125,0.9273,0.95,0.0104,0.0,0.0958,0.2333,0.79,none
27b,base,base_f16,baseline,forensic,480,0.9167,0.8542,0.9219,0.9479,0.0104,0.0104,0.0646,0.2854,0.8295,none
27b,base,base_f16,baseline,generalist,480,0.8604,0.8042,0.9276,0.9646,0.0083,0.025,0.0604,0.2604,0.7788,none
27b,base,base_f16,baseline,math,480,0.8958,0.8,0.9256,0.9542,0.0125,0.0063,0.1083,0.2875,0.772,none
27b,base,base_f16,baseline,planning,480,0.8958,0.8208,0.9235,0.9625,0.0167,0.0125,0.0813,0.2792,0.7929,none
27b,base,base_f16,baseline,rhetoric,480,0.8979,0.7979,0.9335,0.9792,0.0271,0.0104,0.1187,0.2271,0.7669,none
27b,base,base_f16,baseline,spatial,480,0.8938,0.8292,0.9248,0.9604,0.0208,0.0104,0.0813,0.2687,0.8009,none
27b,base,base_f16,cognitive_25_structural_75,adversarial,480,0.9688,0.8708,0.9736,0.9917,0.025,0.0292,0.0833,0.0604,0.8478,none
27b,base,base_f16,cognitive_25_structural_75,boundary,480,0.9729,0.8458,0.973,0.9958,0.0167,0.0271,0.1125,0.0667,0.8231,none
27b,base,base_f16,cognitive_25_structural_75,coding,480,0.9667,0.8562,0.9746,0.9938,0.0167,0.0229,0.0979,0.0583,0.8359,none
