model,substrate,quant,stack,pass_lift,clean_pass_lift,score_lift,cascade_delta,echo_delta,distractor_delta
27b,base,base_f16,cognitive_25_structural_75,0.0892,0.0617,0.0543,-0.0019,0.0073,0.0083
27b,base,base_f16,cognitive_cyber_equal,0.0802,0.0056,0.0519,0.0044,0.0542,0.0146
27b,base,base_f16,cognitive_only,0.08,0.0244,0.0517,0.0021,0.0319,0.0183
27b,base,base_f16,cognitive_structural_equal,0.0865,0.0431,0.0532,0.001,0.0202,0.0148
27b,base,base_f16,cyber_25_structural_75,0.0827,0.049,0.051,0.0014,0.0192,0.0052
27b,base,base_f16,cyber_only,0.0819,-0.0052,0.0516,0.0008,0.0694,0.0158
27b,base,base_f16,cyber_structural_equal,0.0833,0.0302,0.0529,0.0019,0.0398,0.0044
27b,base,base_f16,structural_only,0.081,0.0519,0.0512,0.0021,0.0042,0.0125
27b,base,base_f16,tri_equal,0.0814,0.0146,0.0515,0.0031,0.0559,0.0048
27b,base,base_f16,tri_naive_all_fire,0.0381,-0.2569,0.0113,0.0296,0.3034,0.0766
27b,base,base_f16,tri_routed_68_20_12,0.0842,0.0431,0.0532,-0.0008,0.0244,0.0075
27b,base,base_f16,tri_routed_72_18_10,0.0915,0.0481,0.0555,-0.004,0.0257,0.0064
27b,base,base_f16,tri_stability_70,0.0837,0.0431,0.0525,0.001,0.0261,0.0052
27b,base,base_f16,tri_structural_65,0.0867,0.0415,0.0539,0.0004,0.0275,0.0096
27b,base,collapsed_q2_edge,cognitive_25_structural_75,0.3044,0.2279,0.4909,-0.2704,0.0086,-0.1152
27b,base,collapsed_q2_edge,cognitive_cyber_equal,0.0877,0.0617,0.2587,-0.1594,0.0623,-0.0648
27b,base,collapsed_q2_edge,cognitive_only,0.0352,0.0256,0.1633,-0.1177,0.0307,-0.0267
27b,base,collapsed_q2_edge,cognitive_structural_equal,0.2054,0.1529,0.4084,-0.2423,0.0196,-0.0806
27b,base,collapsed_q2_edge,cyber_25_structural_75,0.3475,0.2521,0.5134,-0.2771,0.0178,-0.1309
27b,base,collapsed_q2_edge,cyber_only,0.0686,0.0469,0.2053,-0.1504,0.068,-0.0731
27b,base,collapsed_q2_edge,cyber_structural_equal,0.2544,0.1781,0.433,-0.2506,0.0442,-0.1181
