model,substrate,quant,stack,pressure_band,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,base,base_f16,baseline,extreme,1200,0.8833,0.7583,0.903,0.9383,0.025,0.0342,0.1292,0.3933,0.714,none
27b,base,base_f16,baseline,high,1200,0.9,0.8142,0.9164,0.9558,0.0225,0.0117,0.1058,0.3108,0.7811,none
27b,base,base_f16,baseline,low,1200,0.8325,0.7825,0.938,0.97,0.01,0.0,0.0583,0.1775,0.766,none
27b,base,base_f16,baseline,medium,1200,0.9133,0.8558,0.9305,0.9625,0.0108,0.0075,0.0642,0.2583,0.833,none
27b,base,base_f16,cognitive_25_structural_75,extreme,1200,0.9758,0.8083,0.9689,0.99,0.0225,0.0408,0.1483,0.0633,0.7784,none
27b,base,base_f16,cognitive_25_structural_75,high,1200,0.9733,0.8508,0.9735,0.99,0.02,0.0175,0.1175,0.0517,0.8294,none
27b,base,base_f16,cognitive_25_structural_75,low,1200,0.965,0.8975,0.9832,0.9892,0.0058,0.0083,0.0617,0.0292,0.8877,none
27b,base,base_f16,cognitive_25_structural_75,medium,1200,0.9717,0.9008,0.9795,0.9933,0.0125,0.0158,0.0633,0.0517,0.8863,none
27b,base,base_f16,cognitive_cyber_equal,extreme,1200,0.9667,0.7542,0.9684,0.9917,0.0275,0.0925,0.1458,0.0525,0.7131,none
27b,base,base_f16,cognitive_cyber_equal,high,1200,0.9692,0.8008,0.9728,0.9908,0.0233,0.0767,0.115,0.0517,0.7667,none
27b,base,base_f16,cognitive_cyber_equal,low,1200,0.9558,0.8467,0.9807,0.9917,0.01,0.0492,0.0675,0.035,0.8267,none
27b,base,base_f16,cognitive_cyber_equal,medium,1200,0.9583,0.8317,0.9735,0.9933,0.025,0.0517,0.0875,0.0525,0.8042,none
27b,base,base_f16,cognitive_only,extreme,1200,0.9633,0.7617,0.9676,0.9967,0.0267,0.065,0.1608,0.0667,0.7245,none
27b,base,base_f16,cognitive_only,high,1200,0.97,0.8292,0.9721,0.9908,0.0217,0.0408,0.1242,0.0542,0.8019,none
27b,base,base_f16,cognitive_only,low,1200,0.9483,0.8525,0.9766,0.985,0.0125,0.0325,0.0717,0.0408,0.8345,none
27b,base,base_f16,cognitive_only,medium,1200,0.9675,0.865,0.9783,0.9925,0.0158,0.0425,0.0742,0.0475,0.8434,none
27b,base,base_f16,cognitive_structural_equal,extreme,1200,0.9675,0.7742,0.967,0.9892,0.0258,0.0592,0.1633,0.06,0.7385,none
