model,substrate,quant,stack,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,base,base_f16,q4_generalist_pair_72_28,5600,0.9673,0.8579,0.9742,0.9898,0.0184,0.0245,0.0984,0.0525,0.837,none
27b,base,collapsed_q2_edge,q3_stability_tri_72,5600,0.6009,0.4232,0.7702,0.8673,0.1611,0.0425,0.3927,0.6389,0.303,none
27b,base,damaged_q2,q3_routed_tri_68,5600,0.8371,0.5914,0.9091,0.9571,0.1045,0.04,0.3243,0.1368,0.5193,none
27b,base,damaged_q3,q3_stability_tri_72,5600,0.9277,0.7246,0.9553,0.9905,0.0568,0.0346,0.2073,0.0502,0.6816,none
27b,base,damaged_q4,q4_generalist_pair_72_28,5600,0.9314,0.7589,0.9587,0.9907,0.0505,0.0227,0.1875,0.0498,0.7217,none
27b,base,healthy_q6,q3_routed_tri_68,5600,0.9543,0.8073,0.9698,0.993,0.0312,0.0387,0.132,0.0466,0.7773,none
27b,base,healthy_q8,q4_generalist_pair_72_28,5600,0.9566,0.8309,0.9694,0.9884,0.0288,0.0195,0.1236,0.0505,0.806,none
27b,base,q8_k_m,q4_generalist_pair_72_28,5600,0.9636,0.8445,0.9732,0.9898,0.0245,0.023,0.1087,0.0452,0.8216,none
27b,degraded_instruct,base_f16,q4_boundary_pair_72_28,5600,0.9673,0.8468,0.9752,0.9895,0.0182,0.0373,0.097,0.0473,0.8237,none
27b,degraded_instruct,collapsed_q2_edge,q3_stability_tri_72,5600,0.5718,0.4045,0.7527,0.8514,0.1666,0.0443,0.3804,0.7027,0.2801,none
27b,degraded_instruct,damaged_q2,q3_stability_tri_72,5600,0.8425,0.592,0.9122,0.9555,0.1016,0.043,0.3218,0.1211,0.5211,none
27b,degraded_instruct,damaged_q3,q3_stability_tri_72,5600,0.9154,0.7071,0.951,0.99,0.0668,0.0432,0.2159,0.0529,0.6585,none
27b,degraded_instruct,damaged_q4,q3_stability_tri_72,5600,0.9316,0.7527,0.96,0.99,0.0486,0.0404,0.1732,0.0504,0.7137,none
27b,degraded_instruct,healthy_q6,q4_generalist_pair_72_28,5600,0.9457,0.8007,0.9647,0.9895,0.0362,0.0246,0.1462,0.0548,0.7705,none
27b,degraded_instruct,healthy_q8,q4_generalist_pair_72_28,5600,0.9602,0.8321,0.9716,0.992,0.0273,0.0245,0.1218,0.047,0.807,none
