model,substrate,quant,stack,family,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,base,base_f16,q2_amplifier_low_echo,adversarial,560,0.9286,0.5929,0.9361,0.9946,0.0482,0.2696,0.1589,0.0661,0.5084,none
27b,base,base_f16,q2_amplifier_low_echo,boundary,560,0.9125,0.5464,0.9299,0.9911,0.05,0.3,0.2,0.0554,0.4527,none
27b,base,base_f16,q2_amplifier_low_echo,coding,560,0.9304,0.5839,0.9377,0.9893,0.05,0.2589,0.1464,0.0482,0.503,none
27b,base,base_f16,q2_amplifier_low_echo,epistemic,560,0.9357,0.5982,0.944,0.9821,0.0375,0.2607,0.1554,0.0375,0.5205,none
27b,base,base_f16,q2_amplifier_low_echo,forensic,560,0.9429,0.5732,0.9412,0.9946,0.025,0.3179,0.1429,0.0679,0.4873,none
27b,base,base_f16,q2_amplifier_low_echo,generalist,560,0.9125,0.5589,0.9355,0.9893,0.0429,0.275,0.1768,0.0482,0.4745,none
27b,base,base_f16,q2_amplifier_low_echo,math,560,0.9375,0.5625,0.942,0.9929,0.0393,0.2643,0.1929,0.05,0.4799,none
27b,base,base_f16,q2_amplifier_low_echo,planning,560,0.9196,0.6018,0.9351,0.9893,0.0464,0.2786,0.1214,0.0661,0.5191,none
27b,base,base_f16,q2_amplifier_low_echo,rhetoric,560,0.9143,0.5661,0.9363,0.9911,0.0518,0.275,0.1589,0.0625,0.4797,none
27b,base,base_f16,q2_amplifier_low_echo,spatial,560,0.95,0.6143,0.95,0.9911,0.0321,0.2786,0.1214,0.0339,0.5375,none
27b,base,base_f16,q3_routed_tri_68,adversarial,560,0.9625,0.85,0.9715,0.9821,0.0196,0.0357,0.0875,0.0625,0.8268,none
27b,base,base_f16,q3_routed_tri_68,boundary,560,0.9696,0.85,0.9739,0.9821,0.0214,0.0554,0.075,0.05,0.824,none
27b,base,base_f16,q3_routed_tri_68,coding,560,0.9679,0.8304,0.9745,0.9911,0.0143,0.0482,0.0929,0.0571,0.8061,none
27b,base,base_f16,q3_routed_tri_68,epistemic,560,0.9554,0.8304,0.9732,0.9964,0.0196,0.0179,0.1304,0.0464,0.8081,none
27b,base,base_f16,q3_routed_tri_68,forensic,560,0.9714,0.8518,0.9719,0.9875,0.0179,0.0375,0.0911,0.0643,0.8284,none
27b,base,base_f16,q3_routed_tri_68,generalist,560,0.9768,0.8446,0.979,0.9964,0.0089,0.0446,0.1,0.0446,0.8228,none
27b,base,base_f16,q3_routed_tri_68,math,560,0.975,0.8,0.976,0.9964,0.0107,0.0482,0.1429,0.05,0.7732,none
27b,base,base_f16,q3_routed_tri_68,planning,560,0.9839,0.8821,0.9792,0.9839,0.0107,0.0375,0.0696,0.0411,0.8638,none
27b,base,base_f16,q3_routed_tri_68,rhetoric,560,0.9696,0.85,0.9754,0.9875,0.0143,0.0268,0.1107,0.0464,0.8292,none
27b,base,base_f16,q3_routed_tri_68,spatial,560,0.9696,0.8679,0.9771,0.9893,0.0232,0.0268,0.0875,0.0375,0.8467,none
27b,base,base_f16,q3_stability_tri_72,adversarial,560,0.95,0.8179,0.9669,0.9893,0.0286,0.0429,0.1071,0.0732,0.7885,none
27b,base,base_f16,q3_stability_tri_72,boundary,560,0.9821,0.85,0.9798,0.9839,0.0107,0.0518,0.0929,0.0321,0.8274,none
27b,base,base_f16,q3_stability_tri_72,coding,560,0.975,0.8536,0.9751,0.9893,0.0107,0.0357,0.0946,0.0589,0.8327,none
27b,base,base_f16,q3_stability_tri_72,epistemic,560,0.9464,0.85,0.9741,0.9946,0.025,0.0179,0.0964,0.0446,0.829,none
27b,base,base_f16,q3_stability_tri_72,forensic,560,0.9839,0.8821,0.9837,0.9929,0.0089,0.0357,0.0786,0.0321,0.8644,none
