model,substrate,quant,stack,pass_lift,clean_pass_lift,score_lift,cascade_delta,echo_delta,distractor_delta
27b,base,base_f16,q2_amplifier_low_echo,0.9284,0.5798,0.9388,0.0423,0.2779,0.1575
27b,base,base_f16,q3_routed_tri_68,0.9702,0.8457,0.9752,0.0161,0.0379,0.0988
27b,base,base_f16,q3_stability_tri_72,0.9693,0.8425,0.9758,0.0152,0.0389,0.1029
27b,base,base_f16,q4_boundary_pair_72_28,0.9671,0.8521,0.9759,0.0184,0.0368,0.0907
27b,base,base_f16,q4_generalist_pair_72_28,0.9673,0.8579,0.9742,0.0184,0.0245,0.0984
27b,base,collapsed_q2_edge,q2_amplifier_low_echo,0.7841,0.3918,0.868,0.1316,0.2816,0.4098
27b,base,collapsed_q2_edge,q3_routed_tri_68,0.5734,0.4018,0.7534,0.1718,0.0387,0.3996
27b,base,collapsed_q2_edge,q3_stability_tri_72,0.6009,0.4232,0.7702,0.1611,0.0425,0.3927
27b,base,collapsed_q2_edge,q4_boundary_pair_72_28,0.3468,0.2546,0.5964,0.2248,0.0354,0.3795
27b,base,collapsed_q2_edge,q4_generalist_pair_72_28,0.3113,0.2425,0.5796,0.2236,0.0198,0.4168
27b,base,damaged_q2,q2_amplifier_low_echo,0.8634,0.4454,0.9052,0.0964,0.2898,0.3477
27b,base,damaged_q2,q3_routed_tri_68,0.8371,0.5914,0.9091,0.1045,0.04,0.3243
27b,base,damaged_q2,q3_stability_tri_72,0.8546,0.5882,0.9177,0.1043,0.0443,0.3309
27b,base,damaged_q2,q4_boundary_pair_72_28,0.6746,0.5018,0.8113,0.127,0.0321,0.3182
27b,base,damaged_q2,q4_generalist_pair_72_28,0.6739,0.4846,0.8145,0.1239,0.0221,0.3655
27b,base,damaged_q3,q2_amplifier_low_echo,0.895,0.5116,0.9234,0.0727,0.2761,0.2541
27b,base,damaged_q3,q3_routed_tri_68,0.9163,0.7109,0.9525,0.0682,0.042,0.2118
27b,base,damaged_q3,q3_stability_tri_72,0.9277,0.7246,0.9553,0.0568,0.0346,0.2073
27b,base,damaged_q3,q4_boundary_pair_72_28,0.91,0.7036,0.9483,0.0695,0.0352,0.2191
27b,base,damaged_q3,q4_generalist_pair_72_28,0.9011,0.7045,0.9475,0.0741,0.0245,0.2273
27b,base,damaged_q4,q2_amplifier_low_echo,0.9071,0.5361,0.9276,0.0611,0.2791,0.2227
27b,base,damaged_q4,q3_routed_tri_68,0.9354,0.7459,0.9601,0.047,0.0402,0.1866
27b,base,damaged_q4,q3_stability_tri_72,0.932,0.7541,0.9595,0.0523,0.0395,0.1757
