model,substrate,quant,stack,pressure_band,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,base,base_f16,q2_amplifier_low_echo,extreme,1400,0.9193,0.4836,0.9201,0.9893,0.0507,0.3714,0.2157,0.0579,0.3739,none
27b,base,base_f16,q2_amplifier_low_echo,high,1400,0.9357,0.5721,0.9409,0.9921,0.0357,0.2979,0.1557,0.0607,0.4864,none
27b,base,base_f16,q2_amplifier_low_echo,low,1400,0.9221,0.6443,0.9503,0.99,0.04,0.2043,0.1143,0.0393,0.5803,none
27b,base,base_f16,q2_amplifier_low_echo,medium,1400,0.9364,0.6193,0.9437,0.9907,0.0429,0.2379,0.1443,0.0564,0.5445,none
27b,base,base_f16,q3_routed_tri_68,extreme,1400,0.9757,0.7829,0.9695,0.9929,0.0207,0.0729,0.14,0.0643,0.7477,none
27b,base,base_f16,q3_routed_tri_68,high,1400,0.9764,0.8457,0.9732,0.9893,0.0171,0.0314,0.1121,0.0579,0.8224,none
27b,base,base_f16,q3_routed_tri_68,low,1400,0.9557,0.8714,0.9798,0.9857,0.0114,0.0236,0.0693,0.0321,0.8561,none
27b,base,base_f16,q3_routed_tri_68,medium,1400,0.9729,0.8829,0.9783,0.9893,0.015,0.0236,0.0736,0.0457,0.8655,none
27b,base,base_f16,q3_stability_tri_72,extreme,1400,0.9729,0.7736,0.9676,0.9871,0.02,0.07,0.1586,0.0643,0.7377,none
27b,base,base_f16,q3_stability_tri_72,high,1400,0.9807,0.845,0.9772,0.9929,0.0143,0.0379,0.1136,0.0457,0.8218,none
27b,base,base_f16,q3_stability_tri_72,low,1400,0.9536,0.8679,0.9789,0.9886,0.0121,0.0236,0.07,0.0357,0.8521,none
27b,base,base_f16,q3_stability_tri_72,medium,1400,0.97,0.8836,0.9795,0.9921,0.0143,0.0243,0.0693,0.045,0.8666,none
27b,base,base_f16,q4_boundary_pair_72_28,extreme,1400,0.9636,0.8021,0.9691,0.9914,0.0321,0.0536,0.1286,0.0529,0.7689,none
27b,base,base_f16,q4_boundary_pair_72_28,high,1400,0.9736,0.845,0.9743,0.9907,0.02,0.04,0.0986,0.055,0.8204,none
27b,base,base_f16,q4_boundary_pair_72_28,low,1400,0.9564,0.8807,0.9808,0.9893,0.01,0.0207,0.0636,0.035,0.8667,none
27b,base,base_f16,q4_boundary_pair_72_28,medium,1400,0.975,0.8807,0.9794,0.9907,0.0114,0.0329,0.0721,0.0486,0.8625,none
27b,base,base_f16,q4_generalist_pair_72_28,extreme,1400,0.965,0.8021,0.9671,0.9907,0.0271,0.05,0.1407,0.0679,0.7693,none
27b,base,base_f16,q4_generalist_pair_72_28,high,1400,0.9743,0.8579,0.9738,0.9871,0.0186,0.0207,0.11,0.0514,0.8368,none
27b,base,base_f16,q4_generalist_pair_72_28,low,1400,0.9564,0.8843,0.9801,0.9921,0.0136,0.0107,0.065,0.0336,0.8712,none
27b,base,base_f16,q4_generalist_pair_72_28,medium,1400,0.9736,0.8871,0.9759,0.9893,0.0143,0.0164,0.0779,0.0571,0.8705,none
27b,base,collapsed_q2_edge,q2_amplifier_low_echo,extreme,1400,0.6893,0.2321,0.8095,0.8886,0.1664,0.3664,0.6529,0.1879,0.0473,distractor_capture
27b,base,collapsed_q2_edge,q2_amplifier_low_echo,high,1400,0.7586,0.3393,0.8506,0.91,0.1586,0.3164,0.4314,0.1271,0.1876,none
27b,base,collapsed_q2_edge,q2_amplifier_low_echo,low,1400,0.875,0.5493,0.9216,0.9671,0.08,0.1979,0.2364,0.05,0.4643,none
27b,base,collapsed_q2_edge,q2_amplifier_low_echo,medium,1400,0.8136,0.4464,0.8903,0.9336,0.1214,0.2457,0.3186,0.0736,0.3317,none
27b,base,collapsed_q2_edge,q3_routed_tri_68,extreme,1400,0.4514,0.2371,0.6564,0.815,0.2393,0.0593,0.6407,1.1186,0.0463,distractor_capture
27b,base,collapsed_q2_edge,q3_routed_tri_68,high,1400,0.5214,0.365,0.7057,0.8607,0.2,0.0414,0.4086,0.8914,0.2195,none
27b,base,collapsed_q2_edge,q3_routed_tri_68,low,1400,0.6864,0.5286,0.8554,0.9243,0.105,0.0214,0.2343,0.2836,0.4599,none
27b,base,collapsed_q2_edge,q3_routed_tri_68,medium,1400,0.6343,0.4764,0.7962,0.8964,0.1429,0.0329,0.315,0.555,0.374,none
27b,base,collapsed_q2_edge,q3_stability_tri_72,extreme,1400,0.4836,0.2586,0.6791,0.8193,0.2443,0.0786,0.6157,0.9836,0.0711,none
27b,base,collapsed_q2_edge,q3_stability_tri_72,high,1400,0.5457,0.3907,0.7211,0.8536,0.1871,0.0357,0.4107,0.8271,0.2532,none
