model,substrate,quant,stack,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,base,base_f16,q2_amplifier_low_echo,5600,0.9284,0.5798,0.9388,0.9905,0.0423,0.2779,0.1575,0.0536,0.4963,none
27b,base,base_f16,q3_routed_tri_68,5600,0.9702,0.8457,0.9752,0.9893,0.0161,0.0379,0.0988,0.05,0.8229,none
27b,base,base_f16,q3_stability_tri_72,5600,0.9693,0.8425,0.9758,0.9902,0.0152,0.0389,0.1029,0.0477,0.8195,none
27b,base,base_f16,q4_boundary_pair_72_28,5600,0.9671,0.8521,0.9759,0.9905,0.0184,0.0368,0.0907,0.0479,0.8296,none
27b,base,base_f16,q4_generalist_pair_72_28,5600,0.9673,0.8579,0.9742,0.9898,0.0184,0.0245,0.0984,0.0525,0.837,none
27b,base,collapsed_q2_edge,q2_amplifier_low_echo,5600,0.7841,0.3918,0.868,0.9248,0.1316,0.2816,0.4098,0.1096,0.2577,none
27b,base,collapsed_q2_edge,q3_routed_tri_68,5600,0.5734,0.4018,0.7534,0.8741,0.1718,0.0387,0.3996,0.7121,0.2749,none
27b,base,collapsed_q2_edge,q3_stability_tri_72,5600,0.6009,0.4232,0.7702,0.8673,0.1611,0.0425,0.3927,0.6389,0.303,none
27b,base,collapsed_q2_edge,q4_boundary_pair_72_28,5600,0.3468,0.2546,0.5964,0.7773,0.2248,0.0354,0.3795,1.3284,0.0833,none
27b,base,collapsed_q2_edge,q4_generalist_pair_72_28,5600,0.3113,0.2425,0.5796,0.7941,0.2236,0.0198,0.4168,1.4443,0.0659,none
27b,base,damaged_q2,q2_amplifier_low_echo,5600,0.8634,0.4454,0.9052,0.9793,0.0964,0.2898,0.3477,0.0527,0.328,none
27b,base,damaged_q2,q3_routed_tri_68,5600,0.8371,0.5914,0.9091,0.9571,0.1045,0.04,0.3243,0.1368,0.5193,none
27b,base,damaged_q2,q3_stability_tri_72,5600,0.8546,0.5882,0.9177,0.9641,0.1043,0.0443,0.3309,0.0964,0.5168,none
27b,base,damaged_q2,q4_boundary_pair_72_28,5600,0.6746,0.5018,0.8113,0.8857,0.127,0.0321,0.3182,0.5139,0.4061,none
27b,base,damaged_q2,q4_generalist_pair_72_28,5600,0.6739,0.4846,0.8145,0.9266,0.1239,0.0221,0.3655,0.547,0.3864,none
27b,base,damaged_q3,q2_amplifier_low_echo,5600,0.895,0.5116,0.9234,0.9907,0.0727,0.2761,0.2541,0.0514,0.4117,none
