model,substrate,quant,stack,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,base,collapsed_q2_edge,stability_first_tri_70,5600,0.5877,0.418,0.7634,0.8838,0.1605,0.0395,0.3739,0.6966,0.2972,none
27b,base,damaged_q2,stability_first_tri_70,5600,0.8438,0.5936,0.9148,0.9623,0.1059,0.042,0.3214,0.1093,0.5222,none
27b,base,damaged_q3,routed_tri_structural_65,5600,0.917,0.7104,0.9528,0.993,0.0668,0.0427,0.2166,0.0466,0.6621,none
27b,base,damaged_q4,cyber_structural_25_75,5600,0.9332,0.762,0.9593,0.9911,0.0523,0.0293,0.1795,0.0475,0.7237,none
27b,base,healthy_q6,cognitive_structural_25_75,5600,0.9468,0.805,0.9656,0.987,0.0375,0.02,0.145,0.0471,0.7758,none
27b,base,healthy_q8,cognitive_structural_25_75,5600,0.9616,0.8321,0.9714,0.9873,0.0223,0.0216,0.1243,0.0484,0.8088,none
27b,degraded_instruct,collapsed_q2_edge,stability_first_tri_70,5600,0.5473,0.3854,0.7406,0.8477,0.1723,0.0411,0.3868,0.7536,0.2568,none
27b,degraded_instruct,damaged_q2,stability_first_tri_70,5600,0.8336,0.5773,0.907,0.9463,0.1011,0.0448,0.3379,0.1334,0.5043,none
27b,degraded_instruct,damaged_q3,stability_first_tri_70,5600,0.9173,0.7016,0.9505,0.9877,0.0638,0.0477,0.2234,0.0536,0.6524,none
27b,degraded_instruct,damaged_q4,cyber_structural_25_75,5600,0.9332,0.7612,0.9591,0.9895,0.0479,0.035,0.1741,0.0559,0.7232,none
27b,degraded_instruct,healthy_q6,cognitive_structural_25_75,5600,0.9477,0.7995,0.9653,0.9888,0.037,0.0223,0.1502,0.0488,0.7695,none
27b,degraded_instruct,healthy_q8,cognitive_structural_25_75,5600,0.9637,0.8391,0.9723,0.9882,0.0239,0.0238,0.1159,0.0457,0.8156,none
27b,instruct,collapsed_q2_edge,q2_structural_amplifier,5600,0.6784,0.3495,0.8092,0.8398,0.1509,0.2786,0.4361,0.2823,0.1995,none
27b,instruct,damaged_q2,stability_first_tri_70,5600,0.7782,0.5509,0.8697,0.9095,0.1152,0.038,0.3354,0.2659,0.4686,none
27b,instruct,damaged_q3,cognitive_structural_25_75,5600,0.9057,0.6961,0.9466,0.9884,0.0705,0.0191,0.2459,0.0557,0.6486,none
27b,instruct,damaged_q4,cognitive_structural_25_75,5600,0.9279,0.752,0.9566,0.9896,0.058,0.0184,0.1898,0.0477,0.7133,none
27b,instruct,healthy_q6,cognitive_structural_25_75,5600,0.9509,0.8125,0.9673,0.9898,0.0345,0.0184,0.1421,0.0479,0.7847,none
27b,instruct,healthy_q8,cognitive_structural_25_75,5600,0.9557,0.8295,0.9698,0.9905,0.0282,0.017,0.1261,0.0511,0.805,none
2b_reference,base,collapsed_q2_edge,q2_structural_amplifier,5600,0.4471,0.232,0.6721,0.773,0.2345,0.2891,0.5241,0.7588,0.0239,cascade
2b_reference,base,damaged_q2,q2_structural_amplifier,5600,0.7061,0.35,0.8273,0.8716,0.163,0.2784,0.4575,0.1991,0.1989,none
2b_reference,base,damaged_q3,stability_first_tri_70,5600,0.8557,0.6145,0.9216,0.9673,0.1109,0.0346,0.2943,0.0816,0.5466,none
2b_reference,base,damaged_q4,routed_tri_structural_65,5600,0.9012,0.6789,0.946,0.9909,0.0795,0.045,0.2311,0.0525,0.625,none
2b_reference,base,healthy_q6,cyber_structural_25_75,5600,0.927,0.7604,0.9581,0.9911,0.0555,0.0323,0.1686,0.052,0.7211,none
2b_reference,base,healthy_q8,cognitive_structural_25_75,5600,0.9461,0.7961,0.9654,0.9905,0.0362,0.0214,0.15,0.0502,0.7664,none
2b_reference,degraded_instruct,collapsed_q2_edge,q2_structural_amplifier,5600,0.4284,0.2198,0.6463,0.7423,0.2434,0.2896,0.5425,0.8477,0.0031,cascade
