model,substrate,quant,stack,family,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,base,collapsed_q2_edge,cognitive_structural_25_75,adversarial,560,0.3821,0.2679,0.6396,0.8893,0.2464,0.0196,0.4554,1.3161,0.0878,none
27b,base,collapsed_q2_edge,cognitive_structural_25_75,boundary,560,0.3804,0.2661,0.6369,0.8661,0.2321,0.0304,0.4929,1.2536,0.0883,none
27b,base,collapsed_q2_edge,cognitive_structural_25_75,coding,560,0.3161,0.225,0.5953,0.775,0.2071,0.0375,0.3714,1.3982,0.0557,none
27b,base,collapsed_q2_edge,cognitive_structural_25_75,epistemic,560,0.3411,0.225,0.6094,0.8125,0.2161,0.0071,0.4429,1.1464,0.066,none
27b,base,collapsed_q2_edge,cognitive_structural_25_75,forensic,560,0.3268,0.2411,0.5991,0.8696,0.2143,0.0214,0.4107,1.3982,0.0697,primitive_gap
27b,base,collapsed_q2_edge,cognitive_structural_25_75,generalist,560,0.2732,0.1946,0.5567,0.7429,0.2536,0.0393,0.45,1.3321,0.0081,cascade
27b,base,collapsed_q2_edge,cognitive_structural_25_75,math,560,0.3161,0.2393,0.571,0.7696,0.2268,0.025,0.4321,1.5554,0.0539,none
27b,base,collapsed_q2_edge,cognitive_structural_25_75,planning,560,0.4018,0.3268,0.6162,0.775,0.2232,0.0179,0.3339,1.2446,0.1673,none
27b,base,collapsed_q2_edge,cognitive_structural_25_75,rhetoric,560,0.2518,0.1911,0.5466,0.7536,0.2036,0.0232,0.4804,1.6196,0.0059,primitive_gap
27b,base,collapsed_q2_edge,cognitive_structural_25_75,spatial,560,0.3411,0.275,0.5984,0.7696,0.1946,0.025,0.3446,1.3446,0.1168,none
27b,base,collapsed_q2_edge,cyber_structural_25_75,adversarial,560,0.5304,0.3643,0.7568,0.9768,0.1982,0.0321,0.4143,0.8375,0.2234,none
27b,base,collapsed_q2_edge,cyber_structural_25_75,boundary,560,0.5875,0.4018,0.7727,0.9893,0.2339,0.0375,0.4,0.6929,0.2575,none
27b,base,collapsed_q2_edge,cyber_structural_25_75,coding,560,0.2857,0.2214,0.5591,0.7143,0.2232,0.0393,0.3518,1.4804,0.0444,cascade
