model,substrate,quant,stack,pass_lift,clean_pass_lift,score_lift,cascade_delta,echo_delta,distractor_delta
27b,base,collapsed_q2_edge,cognitive_structural_25_75,0.333,0.2452,0.5969,0.2218,0.0246,0.4214
27b,base,collapsed_q2_edge,cyber_structural_25_75,0.3445,0.2566,0.6008,0.2182,0.0311,0.3893
27b,base,collapsed_q2_edge,q2_structural_amplifier,0.7889,0.3925,0.868,0.1241,0.2852,0.4104
27b,base,collapsed_q2_edge,routed_tri_structural_60,0.4989,0.3613,0.7174,0.1761,0.0489,0.3873
27b,base,collapsed_q2_edge,routed_tri_structural_65,0.5377,0.3832,0.734,0.1705,0.0462,0.3802
27b,base,collapsed_q2_edge,stability_first_tri_70,0.5877,0.418,0.7634,0.1605,0.0395,0.3739
27b,base,damaged_q2,cognitive_structural_25_75,0.6907,0.5038,0.8195,0.1261,0.0236,0.3491
27b,base,damaged_q2,cyber_structural_25_75,0.6871,0.5136,0.8184,0.128,0.028,0.3102
27b,base,damaged_q2,q2_structural_amplifier,0.8629,0.4457,0.906,0.1016,0.287,0.3436
27b,base,damaged_q2,routed_tri_structural_60,0.8113,0.5695,0.8942,0.1089,0.0446,0.3339
27b,base,damaged_q2,routed_tri_structural_65,0.8296,0.5864,0.9059,0.1068,0.0429,0.3214
27b,base,damaged_q2,stability_first_tri_70,0.8438,0.5936,0.9148,0.1059,0.042,0.3214
27b,base,damaged_q3,cognitive_structural_25_75,0.9046,0.6987,0.9465,0.0748,0.023,0.2354
27b,base,damaged_q3,cyber_structural_25_75,0.9011,0.7007,0.9456,0.0789,0.0314,0.2225
27b,base,damaged_q3,q2_structural_amplifier,0.8886,0.4979,0.9191,0.0841,0.2825,0.2659
27b,base,damaged_q3,routed_tri_structural_60,0.912,0.6977,0.9504,0.068,0.0441,0.2245
27b,base,damaged_q3,routed_tri_structural_65,0.917,0.7104,0.9528,0.0668,0.0427,0.2166
27b,base,damaged_q3,stability_first_tri_70,0.9146,0.7004,0.9513,0.0661,0.0402,0.227
27b,base,damaged_q4,cognitive_structural_25_75,0.9268,0.7507,0.9555,0.0582,0.0187,0.1913
27b,base,damaged_q4,cyber_structural_25_75,0.9332,0.762,0.9593,0.0523,0.0293,0.1795
27b,base,damaged_q4,q2_structural_amplifier,0.905,0.5304,0.9282,0.067,0.2807,0.2213
27b,base,damaged_q4,routed_tri_structural_60,0.9348,0.7384,0.9587,0.0468,0.0454,0.1889
27b,base,damaged_q4,routed_tri_structural_65,0.9273,0.7441,0.9576,0.0527,0.0484,0.1757
27b,base,damaged_q4,stability_first_tri_70,0.9266,0.7488,0.9578,0.057,0.0448,0.1705
27b,base,healthy_q6,cognitive_structural_25_75,0.9468,0.805,0.9656,0.0375,0.02,0.145
27b,base,healthy_q6,cyber_structural_25_75,0.9479,0.803,0.9664,0.0348,0.0338,0.1348
27b,base,healthy_q6,q2_structural_amplifier,0.9159,0.5575,0.9339,0.0563,0.2741,0.1879
27b,base,healthy_q6,routed_tri_structural_60,0.9443,0.7875,0.9659,0.0359,0.0477,0.138
27b,base,healthy_q6,routed_tri_structural_65,0.9511,0.8032,0.9681,0.0357,0.0429,0.1296
27b,base,healthy_q6,stability_first_tri_70,0.9486,0.8027,0.9678,0.0329,0.0377,0.1318
27b,base,healthy_q8,cognitive_structural_25_75,0.9616,0.8321,0.9714,0.0223,0.0216,0.1243
27b,base,healthy_q8,cyber_structural_25_75,0.9595,0.8305,0.9727,0.0262,0.0305,0.115
27b,base,healthy_q8,q2_structural_amplifier,0.9255,0.5764,0.938,0.0475,0.272,0.1657
27b,base,healthy_q8,routed_tri_structural_60,0.9618,0.8109,0.9715,0.0261,0.0512,0.1198
27b,base,healthy_q8,routed_tri_structural_65,0.9636,0.8155,0.9721,0.0218,0.047,0.1214
27b,base,healthy_q8,stability_first_tri_70,0.9609,0.8284,0.9726,0.0209,0.0416,0.1084
27b,degraded_instruct,collapsed_q2_edge,cognitive_structural_25_75,0.3075,0.2348,0.575,0.2332,0.0252,0.4159
