model,substrate,quant,stack,pressure_band,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,base,collapsed_q2_edge,cognitive_structural_25_75,extreme,1400,0.24,0.1336,0.4916,0.7507,0.3164,0.0514,0.6514,1.9379,-0.1207,cascade
27b,base,collapsed_q2_edge,cognitive_structural_25_75,high,1400,0.2843,0.2157,0.5489,0.7786,0.2579,0.0257,0.4607,1.5593,0.0184,cascade
27b,base,collapsed_q2_edge,cognitive_structural_25_75,low,1400,0.44,0.33,0.7227,0.8693,0.1271,0.0064,0.2443,0.7064,0.2357,none
27b,base,collapsed_q2_edge,cognitive_structural_25_75,medium,1400,0.3679,0.3014,0.6244,0.8107,0.1857,0.015,0.3293,1.24,0.1544,none
27b,base,collapsed_q2_edge,cyber_structural_25_75,extreme,1400,0.2629,0.1507,0.5104,0.7193,0.3014,0.0507,0.625,1.8121,-0.0905,cascade
27b,base,collapsed_q2_edge,cyber_structural_25_75,high,1400,0.3186,0.2379,0.5523,0.7636,0.2579,0.0271,0.4121,1.5164,0.0463,cascade
27b,base,collapsed_q2_edge,cyber_structural_25_75,low,1400,0.3993,0.3064,0.7037,0.8271,0.1279,0.0193,0.2493,0.7271,0.2079,none
27b,base,collapsed_q2_edge,cyber_structural_25_75,medium,1400,0.3971,0.3314,0.6369,0.7957,0.1857,0.0271,0.2707,1.1729,0.19,none
27b,base,collapsed_q2_edge,q2_structural_amplifier,extreme,1400,0.6986,0.2586,0.8085,0.8729,0.16,0.3679,0.6321,0.1993,0.0765,distractor_capture
27b,base,collapsed_q2_edge,q2_structural_amplifier,high,1400,0.7586,0.3614,0.8536,0.8936,0.1336,0.3057,0.4043,0.1464,0.2205,none
27b,base,collapsed_q2_edge,q2_structural_amplifier,low,1400,0.8786,0.5143,0.922,0.9736,0.0807,0.2057,0.2771,0.0421,0.4246,none
27b,base,collapsed_q2_edge,q2_structural_amplifier,medium,1400,0.82,0.4357,0.8879,0.9329,0.1221,0.2614,0.3279,0.0743,0.3168,none
27b,base,collapsed_q2_edge,routed_tri_structural_60,extreme,1400,0.3957,0.2264,0.6228,0.8264,0.2579,0.0764,0.6357,1.3086,0.0175,cascade
27b,base,collapsed_q2_edge,routed_tri_structural_60,high,1400,0.4471,0.3229,0.6703,0.8529,0.215,0.05,0.4029,1.045,0.1639,none
27b,base,collapsed_q2_edge,routed_tri_structural_60,low,1400,0.595,0.4521,0.8241,0.9293,0.0971,0.0307,0.2236,0.4114,0.3784,none
