model,substrate,quant,stack,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,base,collapsed_q2_edge,cognitive_structural_25_75,5600,0.333,0.2452,0.5969,0.8023,0.2218,0.0246,0.4214,1.3609,0.072,none
27b,base,collapsed_q2_edge,cyber_structural_25_75,5600,0.3445,0.2566,0.6008,0.7764,0.2182,0.0311,0.3893,1.3071,0.0884,none
27b,base,collapsed_q2_edge,q2_structural_amplifier,5600,0.7889,0.3925,0.868,0.9182,0.1241,0.2852,0.4104,0.1155,0.2596,none
27b,base,collapsed_q2_edge,routed_tri_structural_60,5600,0.4989,0.3613,0.7174,0.8716,0.1761,0.0489,0.3873,0.8827,0.2235,none
27b,base,collapsed_q2_edge,routed_tri_structural_65,5600,0.5377,0.3832,0.734,0.8584,0.1705,0.0462,0.3802,0.7979,0.2525,none
27b,base,collapsed_q2_edge,stability_first_tri_70,5600,0.5877,0.418,0.7634,0.8838,0.1605,0.0395,0.3739,0.6966,0.2972,none
27b,base,damaged_q2,cognitive_structural_25_75,5600,0.6907,0.5038,0.8195,0.9187,0.1261,0.0236,0.3491,0.5164,0.4075,none
27b,base,damaged_q2,cyber_structural_25_75,5600,0.6871,0.5136,0.8184,0.8784,0.128,0.028,0.3102,0.4761,0.4209,none
27b,base,damaged_q2,q2_structural_amplifier,5600,0.8629,0.4457,0.906,0.9811,0.1016,0.287,0.3436,0.0473,0.328,none
27b,base,damaged_q2,routed_tri_structural_60,5600,0.8113,0.5695,0.8942,0.9537,0.1089,0.0446,0.3339,0.1984,0.4912,none
27b,base,damaged_q2,routed_tri_structural_65,5600,0.8296,0.5864,0.9059,0.9586,0.1068,0.0429,0.3214,0.1505,0.5126,none
27b,base,damaged_q2,stability_first_tri_70,5600,0.8438,0.5936,0.9148,0.9623,0.1059,0.042,0.3214,0.1093,0.5222,none
27b,base,damaged_q3,cognitive_structural_25_75,5600,0.9046,0.6987,0.9465,0.9886,0.0748,0.023,0.2354,0.0537,0.6502,none
27b,base,damaged_q3,cyber_structural_25_75,5600,0.9011,0.7007,0.9456,0.9861,0.0789,0.0314,0.2225,0.0555,0.6502,none
27b,base,damaged_q3,q2_structural_amplifier,5600,0.8886,0.4979,0.9191,0.9907,0.0841,0.2825,0.2659,0.0479,0.3925,none
27b,base,damaged_q3,routed_tri_structural_60,5600,0.912,0.6977,0.9504,0.9896,0.068,0.0441,0.2245,0.0486,0.6481,none
27b,base,damaged_q3,routed_tri_structural_65,5600,0.917,0.7104,0.9528,0.993,0.0668,0.0427,0.2166,0.0466,0.6621,none
27b,base,damaged_q3,stability_first_tri_70,5600,0.9146,0.7004,0.9513,0.9902,0.0661,0.0402,0.227,0.0482,0.6519,none
27b,base,damaged_q4,cognitive_structural_25_75,5600,0.9268,0.7507,0.9555,0.9884,0.0582,0.0187,0.1913,0.0505,0.7117,none
27b,base,damaged_q4,cyber_structural_25_75,5600,0.9332,0.762,0.9593,0.9911,0.0523,0.0293,0.1795,0.0475,0.7237,none
27b,base,damaged_q4,q2_structural_amplifier,5600,0.905,0.5304,0.9282,0.9895,0.067,0.2807,0.2213,0.0443,0.4342,none
27b,base,damaged_q4,routed_tri_structural_60,5600,0.9348,0.7384,0.9587,0.9879,0.0468,0.0454,0.1889,0.0516,0.6976,none
27b,base,damaged_q4,routed_tri_structural_65,5600,0.9273,0.7441,0.9576,0.9904,0.0527,0.0484,0.1757,0.0543,0.7019,none
27b,base,damaged_q4,stability_first_tri_70,5600,0.9266,0.7488,0.9578,0.9905,0.057,0.0448,0.1705,0.0504,0.7065,none
27b,base,healthy_q6,cognitive_structural_25_75,5600,0.9468,0.805,0.9656,0.987,0.0375,0.02,0.145,0.0471,0.7758,none
27b,base,healthy_q6,cyber_structural_25_75,5600,0.9479,0.803,0.9664,0.9882,0.0348,0.0338,0.1348,0.0502,0.7725,none
27b,base,healthy_q6,q2_structural_amplifier,5600,0.9159,0.5575,0.9339,0.9916,0.0563,0.2741,0.1879,0.0489,0.4683,none
27b,base,healthy_q6,routed_tri_structural_60,5600,0.9443,0.7875,0.9659,0.9893,0.0359,0.0477,0.138,0.0514,0.7536,none
27b,base,healthy_q6,routed_tri_structural_65,5600,0.9511,0.8032,0.9681,0.9895,0.0357,0.0429,0.1296,0.0443,0.7713,none
