substrate,quant,stack,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
base,collapsed_q2_edge,tri_naive_structural_heavy_all_fire,6400,0.3472,0.1772,0.5883,0.7345,0.2755,0.2986,0.5498,1.0956,-0.0639,cascade
base,damaged_q2,tri_naive_structural_heavy_all_fire,6400,0.635,0.3191,0.7855,0.8389,0.1797,0.2916,0.47,0.3439,0.152,none
base,damaged_q3,tri_structural_heavy_65,6400,0.8558,0.6052,0.9194,0.9619,0.1052,0.0483,0.3094,0.0916,0.5346,none
base,damaged_q4,cog_25_str_75,6400,0.8967,0.6845,0.9433,0.9894,0.0839,0.0195,0.2477,0.0537,0.633,none
base,healthy_q6,cog_25_str_75,6400,0.9317,0.7611,0.9595,0.992,0.0531,0.02,0.1839,0.0453,0.7242,none
base,healthy_q8,cog_25_str_75,6400,0.945,0.7934,0.9664,0.9895,0.0378,0.0239,0.1541,0.0417,0.7629,none
degraded_instruct,collapsed_q2_edge,tri_naive_structural_heavy_all_fire,6400,0.3131,0.1625,0.5585,0.6981,0.2919,0.3014,0.5777,1.1834,-0.0907,cascade
degraded_instruct,damaged_q2,tri_naive_structural_heavy_all_fire,6400,0.5887,0.2878,0.7555,0.8011,0.1908,0.3067,0.4892,0.4245,0.1089,none
degraded_instruct,damaged_q3,tri_structural_heavy_65,6400,0.8373,0.5988,0.9093,0.9395,0.1105,0.0475,0.2964,0.1152,0.5266,none
degraded_instruct,damaged_q4,tri_structural_heavy_65,6400,0.9027,0.6745,0.9463,0.9903,0.0764,0.0511,0.248,0.05,0.6191,none
degraded_instruct,healthy_q6,structural_only,6400,0.9241,0.7583,0.9557,0.9875,0.0602,0.0144,0.1805,0.0491,0.7205,none
degraded_instruct,healthy_q8,structural_only,6400,0.9472,0.8003,0.9649,0.988,0.0334,0.0178,0.1541,0.053,0.7717,none
instruct,collapsed_q2_edge,tri_naive_structural_heavy_all_fire,6400,0.19,0.1056,0.4397,0.6019,0.3441,0.2891,0.5914,1.6764,-0.1865,cascade
instruct,damaged_q2,tri_naive_structural_heavy_all_fire,6400,0.4503,0.237,0.6687,0.7423,0.2227,0.2905,0.5133,0.7717,0.0325,none
instruct,damaged_q3,tri_structural_heavy_65,6400,0.7786,0.5672,0.8741,0.9089,0.1261,0.0386,0.3113,0.2334,0.4851,none
instruct,damaged_q4,tri_structural_heavy_65,6400,0.8866,0.6698,0.938,0.973,0.0873,0.0366,0.2436,0.0591,0.6139,none
instruct,healthy_q6,structural_only,6400,0.9219,0.7627,0.9561,0.9858,0.0595,0.0153,0.1784,0.047,0.7251,none
instruct,healthy_q8,cyb_25_str_75,6400,0.9437,0.7934,0.9644,0.9919,0.0428,0.0267,0.1511,0.048,0.7608,none
