substrate,quant,stack,family,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
base,collapsed_q2_edge,baseline,adversarial,640,0.0016,0.0016,0.0077,0.0938,0.8797,0.0094,0.7781,5.45,-0.599,cascade
base,collapsed_q2_edge,baseline,boundary,640,0.0,0.0,0.0025,0.0828,0.8922,0.0266,0.9281,5.2219,-0.6083,cascade
base,collapsed_q2_edge,baseline,coding,640,0.0,0.0,0.0055,0.1031,0.8484,0.0234,0.6312,4.9328,-0.5564,cascade
base,collapsed_q2_edge,baseline,epistemic,640,0.0,0.0,0.0097,0.1125,0.8266,0.0,0.7359,4.1797,-0.5158,cascade
base,collapsed_q2_edge,baseline,forensic,640,0.0,0.0,0.0062,0.1156,0.8594,0.0094,0.7609,4.7047,-0.5558,cascade
base,collapsed_q2_edge,baseline,generalist,640,0.0,0.0,0.0089,0.1047,0.8125,0.0156,0.7562,4.4078,-0.5278,cascade
base,collapsed_q2_edge,baseline,math,640,0.0,0.0,0.0114,0.1547,0.7984,0.0234,0.7562,5.1141,-0.5604,cascade
base,collapsed_q2_edge,baseline,planning,640,0.0,0.0,0.0118,0.1187,0.7906,0.0094,0.6047,4.6672,-0.5208,cascade
base,collapsed_q2_edge,baseline,rhetoric,640,0.0,0.0,0.0062,0.1141,0.8438,0.0094,0.7594,4.9297,-0.5622,cascade
base,collapsed_q2_edge,baseline,spatial,640,0.0,0.0,0.01,0.1281,0.8609,0.0063,0.6453,4.6719,-0.5447,cascade
base,collapsed_q2_edge,cog_25_cyb_75,adversarial,640,0.0328,0.0281,0.1887,0.7875,0.6687,0.0719,0.6297,3.6313,-0.4188,cascade
base,collapsed_q2_edge,cog_25_cyb_75,boundary,640,0.0406,0.0328,0.2268,0.8453,0.6547,0.1031,0.7188,3.1844,-0.4009,cascade
base,collapsed_q2_edge,cog_25_cyb_75,coding,640,0.0047,0.0047,0.0729,0.4297,0.6906,0.0797,0.5375,4.1844,-0.4707,cascade
base,collapsed_q2_edge,cog_25_cyb_75,epistemic,640,0.0063,0.0063,0.0894,0.4469,0.6844,0.0734,0.6406,3.4266,-0.4363,cascade
base,collapsed_q2_edge,cog_25_cyb_75,forensic,640,0.0172,0.0094,0.1278,0.7734,0.7047,0.0891,0.6406,3.6,-0.4511,cascade
base,collapsed_q2_edge,cog_25_cyb_75,generalist,640,0.0,0.0,0.0921,0.3953,0.6984,0.0797,0.6,3.7,-0.4585,cascade
base,collapsed_q2_edge,cog_25_cyb_75,math,640,0.0031,0.0031,0.0575,0.3156,0.6828,0.0844,0.6125,4.6516,-0.5002,cascade
base,collapsed_q2_edge,cog_25_cyb_75,planning,640,0.0125,0.0094,0.0885,0.3937,0.6672,0.0891,0.4844,3.9016,-0.4424,cascade
base,collapsed_q2_edge,cog_25_cyb_75,rhetoric,640,0.0063,0.0063,0.0673,0.3984,0.7297,0.0859,0.6125,4.1766,-0.4877,cascade
base,collapsed_q2_edge,cog_25_cyb_75,spatial,640,0.0078,0.0031,0.0611,0.3688,0.7063,0.0688,0.5719,4.1172,-0.4741,cascade
base,collapsed_q2_edge,cog_25_str_75,adversarial,640,0.0719,0.0516,0.2791,0.6609,0.5078,0.0328,0.6719,2.9719,-0.3097,cascade
base,collapsed_q2_edge,cog_25_str_75,boundary,640,0.0672,0.0437,0.2869,0.6609,0.5094,0.0312,0.6922,2.7188,-0.3066,cascade
base,collapsed_q2_edge,cog_25_str_75,coding,640,0.0703,0.0531,0.2509,0.5203,0.4906,0.0219,0.525,2.8,-0.2804,cascade
base,collapsed_q2_edge,cog_25_str_75,epistemic,640,0.0625,0.05,0.2673,0.5641,0.4859,0.0047,0.6109,2.3594,-0.2636,cascade
base,collapsed_q2_edge,cog_25_str_75,forensic,640,0.0609,0.0422,0.255,0.5969,0.5188,0.0281,0.5938,2.7391,-0.3035,cascade
base,collapsed_q2_edge,cog_25_str_75,generalist,640,0.0563,0.0484,0.2627,0.5375,0.5156,0.0281,0.6016,2.4578,-0.2829,cascade
base,collapsed_q2_edge,cog_25_str_75,math,640,0.0609,0.05,0.2597,0.5453,0.4578,0.0156,0.5828,2.9531,-0.2848,cascade
base,collapsed_q2_edge,cog_25_str_75,planning,640,0.1,0.0781,0.2931,0.5516,0.4578,0.0234,0.4594,2.4797,-0.2246,cascade
base,collapsed_q2_edge,cog_25_str_75,rhetoric,640,0.0406,0.0328,0.2172,0.4891,0.5094,0.0172,0.6328,2.9641,-0.3223,cascade
base,collapsed_q2_edge,cog_25_str_75,spatial,640,0.0625,0.05,0.2638,0.5437,0.4625,0.0203,0.4594,2.6437,-0.2617,cascade
base,collapsed_q2_edge,cog_40_cyb_60,adversarial,640,0.0172,0.0141,0.1611,0.725,0.7031,0.0891,0.7031,3.7453,-0.4582,cascade
base,collapsed_q2_edge,cog_40_cyb_60,boundary,640,0.0312,0.0203,0.1869,0.7656,0.675,0.0875,0.6984,3.4484,-0.428,cascade
base,collapsed_q2_edge,cog_40_cyb_60,coding,640,0.0016,0.0,0.0646,0.3984,0.7141,0.0922,0.5766,4.2359,-0.4906,cascade
base,collapsed_q2_edge,cog_40_cyb_60,epistemic,640,0.0125,0.0047,0.0937,0.4734,0.7109,0.0547,0.6781,3.4531,-0.4464,cascade
base,collapsed_q2_edge,cog_40_cyb_60,forensic,640,0.0125,0.0078,0.111,0.6891,0.7172,0.075,0.6141,3.7469,-0.4588,cascade
base,collapsed_q2_edge,cog_40_cyb_60,generalist,640,0.0031,0.0,0.0958,0.4437,0.7141,0.1125,0.6344,3.6125,-0.4681,cascade
base,collapsed_q2_edge,cog_40_cyb_60,math,640,0.0047,0.0031,0.0708,0.3734,0.6562,0.0875,0.6641,4.5234,-0.4905,cascade
base,collapsed_q2_edge,cog_40_cyb_60,planning,640,0.0172,0.0156,0.1012,0.4625,0.6609,0.0781,0.5203,3.8828,-0.434,cascade
base,collapsed_q2_edge,cog_40_cyb_60,rhetoric,640,0.0078,0.0078,0.0836,0.45,0.7219,0.0563,0.6219,4.1188,-0.4757,cascade
base,collapsed_q2_edge,cog_40_cyb_60,spatial,640,0.0063,0.0016,0.0786,0.4094,0.6687,0.075,0.5484,4.025,-0.4592,cascade
base,collapsed_q2_edge,cog_40_str_60,adversarial,640,0.0375,0.0219,0.2185,0.6297,0.5672,0.0391,0.6234,3.3172,-0.3718,cascade
base,collapsed_q2_edge,cog_40_str_60,boundary,640,0.0359,0.0234,0.2102,0.575,0.5609,0.0469,0.7438,3.1703,-0.3722,cascade
base,collapsed_q2_edge,cog_40_str_60,coding,640,0.0391,0.0297,0.2147,0.5469,0.5375,0.0422,0.5406,3.0375,-0.3351,cascade
base,collapsed_q2_edge,cog_40_str_60,epistemic,640,0.05,0.0344,0.2198,0.5312,0.5328,0.0094,0.6406,2.5969,-0.3084,cascade
base,collapsed_q2_edge,cog_40_str_60,forensic,640,0.0391,0.0328,0.1986,0.6062,0.55,0.0328,0.6234,3.0734,-0.3423,cascade
base,collapsed_q2_edge,cog_40_str_60,generalist,640,0.0344,0.0219,0.2158,0.5109,0.5578,0.0344,0.6047,2.7313,-0.3373,cascade
base,collapsed_q2_edge,cog_40_str_60,math,640,0.0469,0.0406,0.2092,0.5156,0.4938,0.0187,0.5984,3.2672,-0.3225,cascade
base,collapsed_q2_edge,cog_40_str_60,planning,640,0.0641,0.0484,0.236,0.5266,0.4969,0.0312,0.5141,2.8094,-0.2885,cascade
base,collapsed_q2_edge,cog_40_str_60,rhetoric,640,0.0281,0.025,0.1937,0.5125,0.5734,0.0172,0.6266,3.1469,-0.3579,cascade
base,collapsed_q2_edge,cog_40_str_60,spatial,640,0.0531,0.0391,0.2316,0.5516,0.4859,0.0234,0.4906,2.9344,-0.2974,cascade
base,collapsed_q2_edge,cog_50_cyb_50,adversarial,640,0.0125,0.0094,0.1382,0.6781,0.6875,0.0922,0.7359,4.0312,-0.4758,cascade
