substrate,quant,stack,pass_lift,clean_pass_lift,score_lift,cascade_delta,echo_delta,distractor_delta
base,collapsed_q2_edge,cog_25_cyb_75,0.0129,0.0101,0.0992,-0.1526,0.0692,-0.1308
base,collapsed_q2_edge,cog_25_str_75,0.0651,0.0498,0.2556,-0.3497,0.009,-0.1526
base,collapsed_q2_edge,cog_40_cyb_60,0.0112,0.0073,0.0967,-0.1471,0.0675,-0.1097
base,collapsed_q2_edge,cog_40_str_60,0.0426,0.0315,0.2068,-0.3057,0.0162,-0.135
base,collapsed_q2_edge,cog_50_cyb_50,0.0068,0.005,0.0894,-0.1416,0.0662,-0.0898
base,collapsed_q2_edge,cog_50_str_50,0.0354,0.0265,0.1804,-0.2686,0.0176,-0.1125
base,collapsed_q2_edge,cog_60_cyb_40,0.0082,0.0051,0.0847,-0.1166,0.0595,-0.0962
base,collapsed_q2_edge,cog_60_str_40,0.0279,0.022,0.1607,-0.2526,0.0259,-0.1058
base,collapsed_q2_edge,cog_75_cyb_25,0.0075,0.0043,0.0783,-0.1191,0.0589,-0.0787
base,collapsed_q2_edge,cog_75_str_25,0.017,0.0107,0.1258,-0.1885,0.0344,-0.0761
base,collapsed_q2_edge,cognitive_only,0.0034,0.0023,0.0478,-0.0705,0.0375,-0.0331
base,collapsed_q2_edge,cyb_25_str_75,0.069,0.0514,0.2641,-0.3413,0.0192,-0.1978
base,collapsed_q2_edge,cyb_40_str_60,0.0559,0.039,0.2276,-0.3129,0.0333,-0.1864
base,collapsed_q2_edge,cyb_50_str_50,0.0484,0.0348,0.2095,-0.2883,0.0451,-0.1934
base,collapsed_q2_edge,cyb_60_str_40,0.0354,0.0243,0.1861,-0.2647,0.0511,-0.19
base,collapsed_q2_edge,cyb_75_str_25,0.0318,0.0245,0.1558,-0.2257,0.0603,-0.1604
base,collapsed_q2_edge,cyber_only,0.0082,0.0059,0.0721,-0.1201,0.0648,-0.1131
base,collapsed_q2_edge,structural_only,0.0417,0.0329,0.1895,-0.2894,0.0006,-0.1461
base,collapsed_q2_edge,tri_boundary_heavy,0.1011,0.0718,0.313,-0.3805,0.0637,-0.1815
base,collapsed_q2_edge,tri_cognitive_bridge,0.0756,0.0534,0.2848,-0.3515,0.0478,-0.1501
base,collapsed_q2_edge,tri_cognitive_heavy,0.0532,0.0379,0.2401,-0.3165,0.0412,-0.1398
base,collapsed_q2_edge,tri_cyber_heavy,0.0782,0.0537,0.2731,-0.3461,0.0669,-0.1834
base,collapsed_q2_edge,tri_equal_routed,0.0567,0.0403,0.2485,-0.3218,0.0512,-0.1642
base,collapsed_q2_edge,tri_naive_equal_all_fire,0.12,0.0637,0.3665,-0.4404,0.3015,-0.1248
base,collapsed_q2_edge,tri_naive_structural_heavy_all_fire,0.347,0.177,0.5803,-0.5658,0.2853,-0.1858
base,collapsed_q2_edge,tri_structural_heavy_55,0.1081,0.0732,0.337,-0.3947,0.0355,-0.1662
base,collapsed_q2_edge,tri_structural_heavy_60,0.1189,0.084,0.3584,-0.4158,0.0317,-0.1929
base,collapsed_q2_edge,tri_structural_heavy_65,0.1443,0.1014,0.3856,-0.4385,0.0361,-0.1839
base,damaged_q2,cog_25_cyb_75,0.0594,0.0397,0.2226,-0.2203,0.0755,-0.0957
base,damaged_q2,cog_25_str_75,0.2269,0.1621,0.4447,-0.3625,0.0091,-0.1308
base,damaged_q2,cog_40_cyb_60,0.0516,0.0372,0.2147,-0.215,0.0642,-0.09
base,damaged_q2,cog_40_str_60,0.1624,0.1221,0.3813,-0.3266,0.0183,-0.1061
base,damaged_q2,cog_50_cyb_50,0.0517,0.0391,0.2117,-0.2111,0.0627,-0.0675
base,damaged_q2,cog_50_str_50,0.1339,0.0989,0.3476,-0.2955,0.0208,-0.0896
base,damaged_q2,cog_60_cyb_40,0.0452,0.0311,0.2077,-0.2001,0.0659,-0.0763
base,damaged_q2,cog_60_str_40,0.1117,0.0794,0.3188,-0.2758,0.0269,-0.0894
base,damaged_q2,cog_75_cyb_25,0.047,0.0322,0.1896,-0.182,0.0495,-0.0416
base,damaged_q2,cog_75_str_25,0.0777,0.0574,0.2654,-0.2462,0.0314,-0.0658
base,damaged_q2,cognitive_only,0.0216,0.0157,0.1214,-0.1294,0.0359,-0.0215
base,damaged_q2,cyb_25_str_75,0.2483,0.1822,0.4527,-0.3576,0.0197,-0.1571
base,damaged_q2,cyb_40_str_60,0.1975,0.1438,0.4072,-0.325,0.0316,-0.1463
base,damaged_q2,cyb_50_str_50,0.1742,0.1208,0.3831,-0.317,0.0438,-0.1582
base,damaged_q2,cyb_60_str_40,0.1455,0.1039,0.3513,-0.2939,0.0519,-0.1504
base,damaged_q2,cyb_75_str_25,0.1206,0.0858,0.3155,-0.2903,0.0659,-0.1447
base,damaged_q2,cyber_only,0.0392,0.0275,0.1671,-0.1806,0.0617,-0.0979
base,damaged_q2,structural_only,0.1664,0.1268,0.364,-0.3173,0.0033,-0.1189
base,damaged_q2,tri_boundary_heavy,0.301,0.206,0.5109,-0.3816,0.0523,-0.1619
base,damaged_q2,tri_cognitive_bridge,0.2619,0.1849,0.4901,-0.367,0.0414,-0.1268
base,damaged_q2,tri_cognitive_heavy,0.1947,0.1338,0.4218,-0.3394,0.045,-0.1064
base,damaged_q2,tri_cyber_heavy,0.2475,0.1686,0.4569,-0.3584,0.0733,-0.1569
base,damaged_q2,tri_equal_routed,0.2174,0.1499,0.4386,-0.3461,0.0577,-0.1254
base,damaged_q2,tri_naive_equal_all_fire,0.3324,0.1725,0.5462,-0.4111,0.3045,-0.075
base,damaged_q2,tri_naive_structural_heavy_all_fire,0.6308,0.3157,0.7311,-0.4756,0.2791,-0.1402
base,damaged_q2,tri_structural_heavy_55,0.3389,0.2371,0.5427,-0.3897,0.0345,-0.1416
base,damaged_q2,tri_structural_heavy_60,0.3656,0.2583,0.5657,-0.3992,0.0333,-0.1454
base,damaged_q2,tri_structural_heavy_65,0.4097,0.2816,0.5929,-0.417,0.0314,-0.1597
