substrate,quant,stack,pressure_band,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
base,collapsed_q2_edge,baseline,extreme,1600,0.0,0.0,0.0,0.0,0.9919,0.0356,1.1812,6.0,-0.6992,cascade
base,collapsed_q2_edge,baseline,high,1600,0.0,0.0,0.0,0.0469,0.9888,0.0075,0.7856,5.1981,-0.6209,cascade
base,collapsed_q2_edge,baseline,low,1600,0.0006,0.0006,0.0279,0.2506,0.5706,0.0,0.39,3.3838,-0.371,cascade
base,collapsed_q2_edge,baseline,medium,1600,0.0,0.0,0.0041,0.1537,0.8137,0.01,0.5856,4.73,-0.5295,cascade
base,collapsed_q2_edge,cog_25_cyb_75,extreme,1600,0.0013,0.0013,0.0161,0.3744,0.9625,0.1194,0.9788,5.2663,-0.653,cascade
base,collapsed_q2_edge,cog_25_cyb_75,high,1600,0.0025,0.0019,0.0497,0.4606,0.8306,0.0806,0.6338,4.3513,-0.5317,cascade
base,collapsed_q2_edge,cog_25_cyb_75,low,1600,0.0269,0.0187,0.2308,0.655,0.3812,0.055,0.3275,2.2963,-0.2476,cascade
base,collapsed_q2_edge,cog_25_cyb_75,medium,1600,0.0219,0.0194,0.1323,0.5719,0.5806,0.075,0.4794,3.5156,-0.3839,cascade
base,collapsed_q2_edge,cog_25_str_75,extreme,1600,0.0106,0.0063,0.117,0.4681,0.7375,0.0469,0.9337,3.8344,-0.4908,cascade
base,collapsed_q2_edge,cog_25_str_75,high,1600,0.0344,0.0262,0.1924,0.5288,0.575,0.0163,0.6219,3.0737,-0.3529,cascade
base,collapsed_q2_edge,cog_25_str_75,low,1600,0.1394,0.105,0.4458,0.6856,0.2481,0.0075,0.3312,1.475,-0.0712,cascade
base,collapsed_q2_edge,cog_25_str_75,medium,1600,0.0769,0.0625,0.2991,0.5856,0.4056,0.0187,0.445,2.4519,-0.2211,cascade
base,collapsed_q2_edge,cog_40_cyb_60,extreme,1600,0.0006,0.0,0.0171,0.3969,0.9563,0.1081,0.9825,5.2881,-0.6515,cascade
base,collapsed_q2_edge,cog_40_cyb_60,high,1600,0.0019,0.0019,0.0478,0.4725,0.845,0.0844,0.6706,4.3662,-0.5405,cascade
base,collapsed_q2_edge,cog_40_cyb_60,low,1600,0.0306,0.0194,0.2306,0.6531,0.3781,0.0563,0.3738,2.3119,-0.2508,cascade
base,collapsed_q2_edge,cog_40_cyb_60,medium,1600,0.0125,0.0088,0.1234,0.5537,0.5975,0.0744,0.4769,3.5506,-0.4011,cascade
base,collapsed_q2_edge,cog_40_str_60,extreme,1600,0.0075,0.0044,0.0805,0.4294,0.7887,0.0531,0.9525,4.2569,-0.5319,cascade
base,collapsed_q2_edge,cog_40_str_60,high,1600,0.0175,0.0125,0.1486,0.5169,0.6269,0.0206,0.6613,3.3613,-0.4006,cascade
base,collapsed_q2_edge,cog_40_str_60,low,1600,0.0944,0.0669,0.38,0.6737,0.2819,0.0163,0.3281,1.7119,-0.1328,cascade
base,collapsed_q2_edge,cog_40_str_60,medium,1600,0.0519,0.0431,0.2502,0.5825,0.445,0.0281,0.4606,2.7037,-0.268,cascade
base,collapsed_q2_edge,cog_50_cyb_50,extreme,1600,0.0006,0.0006,0.0139,0.39,0.9631,0.1281,1.0594,5.3925,-0.6683,cascade
base,collapsed_q2_edge,cog_50_cyb_50,high,1600,0.0013,0.0006,0.0444,0.4719,0.8538,0.0688,0.6844,4.4144,-0.5447,cascade
base,collapsed_q2_edge,cog_50_cyb_50,low,1600,0.0169,0.0112,0.2198,0.66,0.3894,0.0544,0.3481,2.3525,-0.2619,cascade
base,collapsed_q2_edge,cog_50_cyb_50,medium,1600,0.0094,0.0081,0.1115,0.5387,0.5925,0.0669,0.4913,3.6106,-0.4028,cascade
base,collapsed_q2_edge,cog_50_str_50,extreme,1600,0.0031,0.0025,0.0576,0.4462,0.8369,0.0537,1.0131,4.4844,-0.5646,cascade
base,collapsed_q2_edge,cog_50_str_50,high,1600,0.0187,0.0119,0.1212,0.5169,0.6669,0.0244,0.6863,3.5894,-0.4274,cascade
base,collapsed_q2_edge,cog_50_str_50,low,1600,0.0756,0.0531,0.3467,0.6825,0.32,0.015,0.3306,1.8344,-0.164,cascade
base,collapsed_q2_edge,cog_50_str_50,medium,1600,0.045,0.0394,0.2282,0.5969,0.4669,0.0306,0.4625,2.8456,-0.2861,cascade
base,collapsed_q2_edge,cog_60_cyb_40,extreme,1600,0.0,0.0,0.0105,0.3869,0.9769,0.1006,1.0344,5.4813,-0.67,cascade
base,collapsed_q2_edge,cog_60_cyb_40,high,1600,0.0013,0.0006,0.0377,0.4594,0.865,0.0681,0.6619,4.4475,-0.5478,cascade
base,collapsed_q2_edge,cog_60_cyb_40,low,1600,0.0262,0.0163,0.2241,0.6637,0.4019,0.0494,0.3469,2.3575,-0.2598,cascade
base,collapsed_q2_edge,cog_60_cyb_40,medium,1600,0.0063,0.0044,0.0985,0.5369,0.655,0.0731,0.5144,3.6119,-0.4285,cascade
base,collapsed_q2_edge,cog_60_str_40,extreme,1600,0.0006,0.0006,0.0452,0.4206,0.8669,0.0663,1.0206,4.7719,-0.5929,cascade
base,collapsed_q2_edge,cog_60_str_40,high,1600,0.0094,0.0088,0.1003,0.5131,0.6925,0.0394,0.6744,3.7706,-0.4494,cascade
base,collapsed_q2_edge,cog_60_str_40,low,1600,0.0781,0.0569,0.3332,0.6512,0.3044,0.02,0.3369,1.9069,-0.1607,cascade
base,collapsed_q2_edge,cog_60_str_40,medium,1600,0.0244,0.0225,0.1962,0.59,0.4913,0.0312,0.4875,3.0131,-0.3208,cascade
base,collapsed_q2_edge,cog_75_cyb_25,extreme,1600,0.0,0.0,0.0066,0.3794,0.9838,0.1125,1.0725,5.5875,-0.6828,cascade
base,collapsed_q2_edge,cog_75_cyb_25,high,1600,0.0013,0.0013,0.034,0.4631,0.8744,0.0606,0.7175,4.5044,-0.5558,cascade
base,collapsed_q2_edge,cog_75_cyb_25,low,1600,0.0231,0.0119,0.2033,0.635,0.3937,0.0506,0.3431,2.4119,-0.2644,cascade
base,collapsed_q2_edge,cog_75_cyb_25,medium,1600,0.0063,0.005,0.1014,0.5681,0.6369,0.065,0.4944,3.6606,-0.4216,cascade
base,collapsed_q2_edge,cog_75_str_25,extreme,1600,0.0013,0.0013,0.0252,0.4213,0.935,0.0788,1.0575,5.1675,-0.638,cascade
base,collapsed_q2_edge,cog_75_str_25,high,1600,0.0056,0.0025,0.0765,0.525,0.7619,0.0387,0.6919,4.0088,-0.4896,cascade
