substrate,quant,stack,primary_failure,count,rate
base,collapsed_q2_edge,baseline,cascade,5384,0.8413
base,collapsed_q2_edge,baseline,classification_miss,771,0.1205
base,collapsed_q2_edge,baseline,distractor_capture,7,0.0011
base,collapsed_q2_edge,baseline,low_score,11,0.0017
base,collapsed_q2_edge,baseline,none,1,0.0002
base,collapsed_q2_edge,baseline,primitive_gap,226,0.0353
base,collapsed_q2_edge,cog_25_cyb_75,cascade,4408,0.6887
base,collapsed_q2_edge,cog_25_cyb_75,classification_miss,687,0.1073
base,collapsed_q2_edge,cog_25_cyb_75,distractor_capture,84,0.0131
base,collapsed_q2_edge,cog_25_cyb_75,echo_or_framing,10,0.0016
base,collapsed_q2_edge,cog_25_cyb_75,low_score,122,0.0191
base,collapsed_q2_edge,cog_25_cyb_75,none,66,0.0103
base,collapsed_q2_edge,cog_25_cyb_75,primitive_gap,1023,0.1598
base,collapsed_q2_edge,cog_25_str_75,cascade,3146,0.4916
base,collapsed_q2_edge,cog_25_str_75,classification_miss,1148,0.1794
base,collapsed_q2_edge,cog_25_str_75,distractor_capture,300,0.0469
base,collapsed_q2_edge,cog_25_str_75,echo_or_framing,4,0.0006
base,collapsed_q2_edge,cog_25_str_75,low_score,247,0.0386
base,collapsed_q2_edge,cog_25_str_75,none,320,0.05
base,collapsed_q2_edge,cog_25_str_75,primitive_gap,1235,0.193
base,collapsed_q2_edge,cog_40_cyb_60,cascade,4443,0.6942
base,collapsed_q2_edge,cog_40_cyb_60,classification_miss,679,0.1061
base,collapsed_q2_edge,cog_40_cyb_60,distractor_capture,103,0.0161
base,collapsed_q2_edge,cog_40_cyb_60,echo_or_framing,14,0.0022
base,collapsed_q2_edge,cog_40_cyb_60,low_score,95,0.0148
base,collapsed_q2_edge,cog_40_cyb_60,none,48,0.0075
base,collapsed_q2_edge,cog_40_cyb_60,primitive_gap,1018,0.1591
base,collapsed_q2_edge,cog_40_str_60,cascade,3428,0.5356
base,collapsed_q2_edge,cog_40_str_60,classification_miss,1080,0.1688
base,collapsed_q2_edge,cog_40_str_60,distractor_capture,231,0.0361
base,collapsed_q2_edge,cog_40_str_60,echo_or_framing,6,0.0009
base,collapsed_q2_edge,cog_40_str_60,low_score,229,0.0358
base,collapsed_q2_edge,cog_40_str_60,none,203,0.0317
base,collapsed_q2_edge,cog_40_str_60,primitive_gap,1223,0.1911
base,collapsed_q2_edge,cog_50_cyb_50,cascade,4478,0.6997
base,collapsed_q2_edge,cog_50_cyb_50,classification_miss,668,0.1044
base,collapsed_q2_edge,cog_50_cyb_50,distractor_capture,95,0.0148
base,collapsed_q2_edge,cog_50_cyb_50,echo_or_framing,10,0.0016
base,collapsed_q2_edge,cog_50_cyb_50,low_score,123,0.0192
base,collapsed_q2_edge,cog_50_cyb_50,none,33,0.0052
base,collapsed_q2_edge,cog_50_cyb_50,primitive_gap,993,0.1552
base,collapsed_q2_edge,cog_50_str_50,cascade,3665,0.5727
base,collapsed_q2_edge,cog_50_str_50,classification_miss,991,0.1548
base,collapsed_q2_edge,cog_50_str_50,distractor_capture,188,0.0294
