substrate,quant,stack,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
base,collapsed_q2_edge,baseline,6400,0.0002,0.0002,0.008,0.1128,0.8413,0.0133,0.7356,4.828,-0.5551,cascade
base,collapsed_q2_edge,cog_25_cyb_75,6400,0.0131,0.0103,0.1072,0.5155,0.6887,0.0825,0.6048,3.8573,-0.4541,cascade
base,collapsed_q2_edge,cog_25_str_75,6400,0.0653,0.05,0.2636,0.567,0.4916,0.0223,0.583,2.7088,-0.284,cascade
base,collapsed_q2_edge,cog_40_cyb_60,6400,0.0114,0.0075,0.1047,0.5191,0.6942,0.0808,0.6259,3.8792,-0.461,cascade
base,collapsed_q2_edge,cog_40_str_60,6400,0.0428,0.0317,0.2148,0.5506,0.5356,0.0295,0.6006,3.0084,-0.3333,cascade
base,collapsed_q2_edge,cog_50_cyb_50,6400,0.007,0.0052,0.0974,0.5152,0.6997,0.0795,0.6458,3.9425,-0.4694,cascade
base,collapsed_q2_edge,cog_50_str_50,6400,0.0356,0.0267,0.1884,0.5606,0.5727,0.0309,0.6231,3.1884,-0.3605,cascade
base,collapsed_q2_edge,cog_60_cyb_40,6400,0.0084,0.0053,0.0927,0.5117,0.7247,0.0728,0.6394,3.9745,-0.4765,cascade
base,collapsed_q2_edge,cog_60_str_40,6400,0.0281,0.0222,0.1687,0.5437,0.5887,0.0392,0.6298,3.3656,-0.381,cascade
base,collapsed_q2_edge,cog_75_cyb_25,6400,0.0077,0.0045,0.0863,0.5114,0.7222,0.0722,0.6569,4.0411,-0.4812,cascade
base,collapsed_q2_edge,cog_75_str_25,6400,0.0172,0.0109,0.1338,0.5484,0.6528,0.0477,0.6595,3.6389,-0.4291,cascade
base,collapsed_q2_edge,cognitive_only,6400,0.0036,0.0025,0.0558,0.4169,0.7708,0.0508,0.7025,4.3597,-0.5131,cascade
base,collapsed_q2_edge,cyb_25_str_75,6400,0.0692,0.0516,0.2721,0.5617,0.5,0.0325,0.5378,2.6316,-0.2795,cascade
base,collapsed_q2_edge,cyb_40_str_60,6400,0.0561,0.0392,0.2356,0.5439,0.5284,0.0466,0.5492,2.8553,-0.3153,cascade
