geometry,pass_rate,clean_pass_rate,mean_score,classified_rate,packet_rate,gate_open_rate,repair_rate,echo_rate,overdrive_rate,cascade_rate,avg_missing,avg_distractors,train_complexity
hybrid_all_three_overbuilt,0.863,0.8565,0.9228,0.7631,0.7889,0.7181,0.4245,0.0095,0.0,0.0278,0.3495,0.6363,0.92
hybrid_all_three_balanced,0.7931,0.7931,0.8879,0.7334,0.7497,0.6743,0.5426,0.0,0.0,0.0592,0.5081,0.594,0.78
hybrid_no_add_payload,0.7394,0.7394,0.8579,0.7198,0.6806,0.6887,0.7632,0.0,0.0,0.0791,0.6595,0.4707,0.74
hybrid_all_three_light,0.6539,0.6458,0.8194,0.6744,0.7158,0.559,0.6152,0.0196,0.0,0.1165,0.7616,0.6529,0.7
gated_plus_web,0.5203,0.5203,0.7526,0.6191,0.5949,0.5762,0.7483,0.0,0.0,0.2051,0.9972,0.5661,0.58
gated_plus_fourier,0.3021,0.3007,0.57,0.5705,0.6597,0.5817,0.0,0.0118,0.0,0.2145,1.8422,0.5958,0.58
gated_lora,0.1901,0.1901,0.4718,0.5027,0.5313,0.5883,0.0,0.0,0.0,0.321,2.1854,0.5167,0.28
web_plus_fourier_no_gate,0.2027,0.1587,0.5037,0.6285,0.7076,0.0,0.0,0.3881,0.0777,0.2952,1.7913,0.8389,0.62
kronecker_web,0.1349,0.1206,0.4223,0.5672,0.5784,0.0,0.0,0.2325,0.0582,0.3947,2.1682,0.7316,0.42
additive_plus_web,0.1347,0.1129,0.4245,0.5479,0.6074,0.0,0.0,0.3249,0.0926,0.4059,2.0579,0.7986,0.52
additive_plus_fourier,0.1103,0.0883,0.3898,0.509,0.6705,0.0,0.0,0.4103,0.0925,0.4224,2.1568,0.8367,0.5
fourier_carrier,0.0968,0.0818,0.3706,0.5162,0.6659,0.0,0.0,0.3501,0.0792,0.4139,2.3222,0.7715,0.4
standard_lora_additive,0.077,0.0658,0.3317,0.4511,0.5742,0.0,0.0,0.3177,0.0972,0.5128,2.3927,0.7752,0.18
base_no_adapter,0.0298,0.0293,0.2138,0.4125,0.4195,0.0,0.0,0.0628,0.0406,0.5598,3.1594,0.5355,0.0
