model_setup,condition,tasks,pass_rate,clean_pass_rate,mean_score,echo_rate,second_task_rate,avg_words
base_no_lora,cognitive_only,8,0.625,0.625,0.7448,0.0,0.125,63.12
base_no_lora,cyber_only,8,0.75,0.625,0.7667,0.0,0.25,81.62
base_no_lora,naive_all_fire,8,0.75,0.75,0.801,0.0,0.0,84.25
base_no_lora,no_memory,8,0.75,0.75,0.826,0.0,0.0,55.88
base_no_lora,routed_combination,8,0.75,0.75,0.7094,0.0,0.0,66.5
base_no_lora,structural_only,8,0.625,0.625,0.7917,0.0,0.125,58.38
base_plus_structural_lora,cognitive_only,8,0.75,0.125,0.7625,0.625,0.375,111.38
base_plus_structural_lora,cyber_only,8,1.0,0.25,0.8406,0.0,0.75,163.88
base_plus_structural_lora,naive_all_fire,8,0.75,0.125,0.7719,0.25,0.5,134.62
base_plus_structural_lora,no_memory,8,0.875,0.125,0.85,0.25,0.875,117.0
base_plus_structural_lora,routed_combination,8,0.75,0.25,0.7625,0.625,0.5,160.62
base_plus_structural_lora,structural_only,8,0.75,0.25,0.8312,0.25,0.5,131.62
