condition,task_id,passed,passed_stage,attempts,builder_elapsed_sec,repair_elapsed_sec,lib_chars,main_chars,cargo_output_chars
ordo_memory,mini_runtime,True,builder,1,28.407,0.0,3520,1978,1571
ordo_memory,intersection_fabric,True,builder,1,16.895,0.0,2088,1278,454
ordo_memory,backpressure_scheduler,True,builder,1,20.395,0.0,2429,1632,908
ordo_memory,signal_mesh,True,builder,1,16.283,0.0,2079,1296,931
ordo_memory,preload_planner,False,,2,12.373,13.382,1677,944,759
ordo_memory,ramp_roundtrip,False,,2,22.877,22.739,3366,1137,1191
ordo_memory,retry_fallback,True,builder,1,13.615,0.0,1255,1148,697
ordo_memory,cost_ledger,True,builder,1,11.476,0.0,887,972,702
ordo_memory,workflow_codec,True,builder,1,14.771,0.0,1060,869,701
ordo_memory,node_registry,True,builder,1,9.513,0.0,796,934,686
ordo_memory,fanout_join,True,repair_1,2,10.203,10.782,723,1084,454
ordo_memory,audit_timeline,True,builder,1,12.769,0.0,980,1583,930
