quant,mode,trials,pass_rate,mean_score,classified_rate,cascade_rate,avg_distractors
damaged_q2,baseline,4000,0.0022,0.0546,0.315,0.5617,0.4338
damaged_q2,memories_only,4000,0.0103,0.1259,0.4738,0.4592,0.4173
damaged_q2,memories_plus_primitives,4000,0.0932,0.3498,0.5435,0.2893,0.329
damaged_q2,primitives_only,4000,0.0485,0.258,0.433,0.3382,0.355
damaged_q3,baseline,4000,0.0553,0.2838,0.5312,0.2675,0.269
damaged_q3,memories_only,4000,0.1155,0.4181,0.7013,0.2117,0.2575
damaged_q3,memories_plus_primitives,4000,0.4108,0.6792,0.7412,0.1335,0.2072
damaged_q3,primitives_only,4000,0.2777,0.585,0.648,0.1505,0.2135
healthy_q6,baseline,4000,0.3905,0.6812,0.7913,0.0798,0.122
healthy_q6,memories_only,4000,0.6295,0.8305,0.9313,0.0545,0.1155
healthy_q6,memories_plus_primitives,4000,0.8928,0.9534,0.9577,0.0455,0.0985
healthy_q6,primitives_only,4000,0.801,0.9154,0.8538,0.0432,0.1027
