config,signal,pass_rate,mean_score,packet_received_rate,classified_rate,drift_rate,cascade_rate,avg_missing,avg_repairs,worst_task_rate
exo_overbuilt,saturated,1.0,0.9879,0.8872,0.8919,0.0,0.0,0.0102,0.0145,1.0
exo_overbuilt,strong,1.0,0.9865,0.8344,0.8733,0.0,0.0,0.0086,0.0106,1.0
exo_overbuilt,normal,0.9994,0.9845,0.8266,0.882,0.0,0.0,0.0222,0.0794,0.9975
exo_full,saturated,0.9988,0.9901,0.9044,0.9277,0.0,0.0,0.0127,0.0139,0.9962
exo_full,strong,0.9988,0.9887,0.8514,0.9069,0.0,0.0,0.0091,0.0147,0.9962
exo_full,normal,0.9923,0.9844,0.8289,0.9036,0.0,0.0,0.0269,0.0503,0.985
stabilized_transport,strong,0.9884,0.9817,0.8411,0.8925,0.0,0.0,0.0194,0.0,0.975
exo_light,saturated,0.988,0.9669,0.9056,0.7631,0.0009,0.0027,0.0161,0.0097,0.9762
stabilized_transport,saturated,0.9852,0.9831,0.9011,0.9119,0.0,0.0,0.0239,0.0,0.965
exo_light,strong,0.9728,0.962,0.8648,0.7569,0.0016,0.01,0.0234,0.0217,0.9325
stabilized_transport,normal,0.948,0.9645,0.7886,0.8692,0.0,0.0,0.0806,0.0,0.9187
transport_packet,saturated,0.9375,0.9456,0.9038,0.7434,0.0134,0.0375,0.0213,0.0,0.89
transport_packet,strong,0.9242,0.9391,0.8402,0.7253,0.0125,0.0448,0.0297,0.0,0.87
exo_light,normal,0.8975,0.9287,0.8508,0.7566,0.0022,0.0169,0.1567,0.0872,0.8612
transport_packet,normal,0.8028,0.8855,0.7955,0.7089,0.0123,0.0623,0.2289,0.0,0.7325
primitive_packet,saturated,0.6778,0.8181,0.5922,0.4978,0.2253,0.1378,0.0194,0.0,0.6462
primitive_packet,strong,0.6044,0.7816,0.5358,0.4706,0.2145,0.1603,0.1445,0.0,0.5437
primitive_packet,normal,0.2841,0.5742,0.477,0.4441,0.2233,0.203,1.0031,0.0,0.2112
bare_q2,saturated,0.003,0.0611,0.6003,0.2612,0.2156,0.5489,3.7152,0.0,0.0
bare_q2,strong,0.0017,0.0549,0.5355,0.2464,0.2273,0.5464,3.7758,0.0,0.0
bare_q2,normal,0.0017,0.0532,0.4916,0.2333,0.2228,0.5472,3.8002,0.0,0.0
