recipe,signal,signal_strength,pass_rate,mean_score,route_rate,cascade_rate,worst_task_rate
flat_best_10,overdrive,1.18,0.7961,0.8506,1.0,0.109,0.7719
family_with_anchor,overdrive,1.18,0.7848,0.8696,0.8113,0.0855,0.7031
flat_best_10,saturated,0.95,0.7707,0.8485,1.0,0.107,0.7156
chain_locked,overdrive,1.18,0.7582,0.8529,0.8105,0.0844,0.5437
family_minimal,overdrive,1.18,0.7328,0.8254,0.7957,0.1004,0.55
family_with_anchor,saturated,0.95,0.732,0.8353,0.7477,0.0949,0.6781
flat_best_10,very_strong,0.7,0.7309,0.8379,1.0,0.1207,0.6969
chain_locked,saturated,0.95,0.6707,0.8036,0.734,0.1113,0.4469
family_minimal,saturated,0.95,0.6488,0.7691,0.7188,0.1293,0.4594
family_with_anchor,very_strong,0.7,0.6406,0.7788,0.648,0.1305,0.5844
chain_locked,very_strong,0.7,0.5941,0.7438,0.6414,0.1434,0.4688
family_minimal,very_strong,0.7,0.5762,0.7124,0.6383,0.1562,0.4562
flat_best_10,strong,0.46,0.4703,0.6976,1.0,0.1453,0.425
family_with_anchor,strong,0.46,0.452,0.6539,0.5664,0.1695,0.35
chain_locked,strong,0.46,0.4316,0.6363,0.5578,0.166,0.3063
family_minimal,strong,0.46,0.3953,0.5896,0.5793,0.1922,0.2562
