signal,signal_strength,bundle_size,bundle,pass_rate,mean_score,classified_rate,cascade_rate,avg_distractors,worst_task_rate
saturated,0.95,10,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.7646,0.8448,0.8271,0.1097,0.9076,0.7333
very_strong,0.7,10,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.7528,0.8424,0.759,0.1125,0.7299,0.6833
saturated,0.95,9,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.7451,0.8471,0.8444,0.1042,0.7056,0.2778
saturated,0.95,9,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.7333,0.839,0.8354,0.0951,0.7194,0.45
very_strong,0.7,9,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.7194,0.8313,0.7826,0.1181,0.6438,0.2167
saturated,0.95,9,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.6882,0.8191,0.8208,0.1007,0.7611,0.2333
saturated,0.95,8,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.6875,0.8284,0.8507,0.1097,0.5944,0.3
very_strong,0.7,9,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.6868,0.8222,0.7701,0.1174,0.6292,0.4
saturated,0.95,9,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+DANGER_CHECK,0.6868,0.8147,0.7715,0.1243,0.8028,0.2389
very_strong,0.7,8,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.6743,0.818,0.8,0.1062,0.5264,0.2611
very_strong,0.7,9,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+DANGER_CHECK,0.6722,0.8055,0.7208,0.1375,0.6826,0.2
saturated,0.95,8,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+DANGER_CHECK,0.6687,0.8152,0.7965,0.1229,0.6319,0.2111
saturated,0.95,8,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.6618,0.8116,0.8257,0.1062,0.6188,0.2278
saturated,0.95,8,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+DANGER_CHECK,0.6521,0.7827,0.7937,0.1347,0.6965,0.0278
very_strong,0.7,9,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.6486,0.8006,0.7618,0.1285,0.6451,0.1778
very_strong,0.7,8,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+DANGER_CHECK,0.6444,0.8018,0.7438,0.1285,0.5875,0.2
saturated,0.95,8,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+DANGER_CHECK,0.6403,0.8043,0.7972,0.1208,0.6486,0.2556
very_strong,0.7,8,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+DANGER_CHECK,0.6396,0.7906,0.7208,0.1319,0.5507,0.2667
saturated,0.95,8,EXTRACT_GIVENS+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.6389,0.8069,0.8187,0.0944,0.625,0.3222
saturated,0.95,7,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+DANGER_CHECK,0.6375,0.8033,0.8097,0.1167,0.5312,0.3111
very_strong,0.7,8,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.6361,0.8004,0.7806,0.1181,0.5458,0.2
saturated,0.95,7,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+DANGER_CHECK,0.6333,0.7754,0.7917,0.1375,0.5514,0.0556
saturated,0.95,8,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.6208,0.773,0.8347,0.1458,0.6979,0.0611
very_strong,0.7,8,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+DANGER_CHECK,0.6194,0.7603,0.7264,0.1597,0.6208,0.05
very_strong,0.7,8,EXTRACT_GIVENS+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.6167,0.7905,0.7681,0.1194,0.5701,0.2722
very_strong,0.7,8,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.6132,0.7697,0.7799,0.1299,0.6215,0.0778
saturated,0.95,7,EXTRACT_GIVENS+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.6125,0.7987,0.8424,0.1035,0.5042,0.2667
very_strong,0.7,7,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+DANGER_CHECK,0.6035,0.781,0.7576,0.1347,0.4778,0.2333
saturated,0.95,8,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.6028,0.7875,0.8118,0.1062,0.625,0.3111
saturated,0.95,7,EXTRACT_GIVENS+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+DANGER_CHECK,0.5979,0.7686,0.7979,0.1222,0.5861,0.0611
saturated,0.95,9,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.5972,0.7742,0.7826,0.134,0.8576,0.2444
very_strong,0.7,7,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+DANGER_CHECK,0.5972,0.7567,0.7181,0.1472,0.4903,0.0556
very_strong,0.7,9,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.5965,0.774,0.7667,0.1347,0.7743,0.2278
saturated,0.95,9,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.5889,0.7796,0.8042,0.1153,0.7486,0.25
saturated,0.95,6,EXTRACT_GIVENS+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+DANGER_CHECK,0.5875,0.7698,0.8049,0.1243,0.4243,0.0667
very_strong,0.7,8,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.584,0.7757,0.7819,0.116,0.5611,0.2944
saturated,0.95,8,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN,0.584,0.7603,0.7806,0.1361,0.7056,0.0667
saturated,0.95,7,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.5833,0.7648,0.8264,0.1222,0.5424,0.0667
saturated,0.95,9,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN,0.5826,0.7729,0.7694,0.1319,0.8014,0.2278
very_strong,0.7,9,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.5785,0.7676,0.7715,0.1493,0.7014,0.2556
