signal,primitive,with_pass,without_pass,pass_lift
rag_like,FRAME,0.6093,0.4986,0.1107
rag_like,CLOCK,0.6046,0.5033,0.1013
rag_like,CARRIER,0.6019,0.5059,0.096
rag_like,STATE_BUFFER,0.5963,0.5115,0.0848
rag_like,REDUNDANCY,0.5875,0.5204,0.0671
rag_like,GAIN_CLAMP,0.5851,0.5228,0.0623
rag_like,CHECKSUM,0.5646,0.5433,0.0213
rag_like,SUPPRESSION,0.5599,0.548,0.0118
rag_like,COMPRESSION,0.5584,0.5494,0.009
rag_like,ECC,0.5581,0.5498,0.0083
rag_like,PARITY,0.5547,0.5531,0.0016
rag_like,ROUTER,0.5295,0.5784,-0.0489
lora_candidate,FRAME,0.707,0.6163,0.0907
lora_candidate,CLOCK,0.7038,0.6195,0.0842
lora_candidate,STATE_BUFFER,0.6885,0.6348,0.0536
lora_candidate,CARRIER,0.6852,0.6381,0.0471
lora_candidate,GAIN_CLAMP,0.6792,0.6441,0.0351
lora_candidate,CHECKSUM,0.6745,0.6488,0.0257
lora_candidate,SUPPRESSION,0.6726,0.6507,0.0219
lora_candidate,REDUNDANCY,0.6697,0.6536,0.016
lora_candidate,ECC,0.6659,0.6575,0.0084
lora_candidate,COMPRESSION,0.6646,0.6587,0.006
lora_candidate,PARITY,0.6629,0.6604,0.0026
lora_candidate,ROUTER,0.6241,0.6992,-0.0751
kv_packet,FRAME,0.6854,0.5957,0.0897
kv_packet,CLOCK,0.6826,0.5985,0.0841
kv_packet,STATE_BUFFER,0.6673,0.6137,0.0536
kv_packet,CARRIER,0.6647,0.6163,0.0484
kv_packet,GAIN_CLAMP,0.6581,0.623,0.0351
kv_packet,CHECKSUM,0.6531,0.628,0.0251
kv_packet,SUPPRESSION,0.6506,0.6305,0.0201
kv_packet,REDUNDANCY,0.6497,0.6314,0.0183
kv_packet,ECC,0.6438,0.6373,0.0065
kv_packet,COMPRESSION,0.6437,0.6373,0.0064
kv_packet,PARITY,0.6419,0.6392,0.0027
kv_packet,ROUTER,0.6041,0.677,-0.0729
