signal,signal_strength,combo_size,combo,pass_rate,mean_score,packet_received_rate,classified_rate,route_rate,cascade_rate,avg_missing,avg_distractors,structural_survival,avg_structural_repairs,avg_functional_repairs,worst_task_rate
lora_candidate,0.78,11,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8734,0.8871,0.7511,0.8143,0.0,0.0013,0.048,0.5566,0.8617,0.688,0.0187,0.8457
lora_candidate,0.78,10,FRAME+CLOCK+CARRIER+PARITY+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8709,0.8885,0.7655,0.8214,0.0,0.0045,0.0507,0.5561,0.8541,0.4414,0.0125,0.8486
lora_candidate,0.78,10,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+GAIN_CLAMP,0.8664,0.8801,0.7693,0.748,0.0,0.0011,0.048,0.5498,0.8704,0.6066,0.0134,0.85
lora_candidate,0.78,9,FRAME+CLOCK+CARRIER+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+GAIN_CLAMP,0.8657,0.8801,0.7643,0.7593,0.0,0.0039,0.0482,0.5509,0.8597,0.3762,0.0105,0.8371
lora_candidate,0.78,10,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8652,0.8818,0.7414,0.7868,0.0,0.0013,0.0454,0.5605,0.8681,0.5982,0.0154,0.8386
lora_candidate,0.78,10,FRAME+CLOCK+CARRIER+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8634,0.8859,0.76,0.8109,0.0,0.0023,0.0537,0.5575,0.8544,0.4587,0.0141,0.8571
lora_candidate,0.78,9,FRAME+CLOCK+CARRIER+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8588,0.8817,0.7445,0.7909,0.0,0.0014,0.053,0.5513,0.8634,0.3977,0.0146,0.83
kv_packet,0.64,11,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.858,0.881,0.723,0.78,0.0,0.0023,0.0464,0.515,0.8376,0.6695,0.0163,0.8457
lora_candidate,0.78,9,FRAME+CLOCK+CARRIER+CHECKSUM+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8573,0.88,0.7495,0.8096,0.0,0.0004,0.0632,0.5959,0.8223,0.0,0.0,0.8329
kv_packet,0.64,10,FRAME+CLOCK+CARRIER+PARITY+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8546,0.8806,0.7362,0.7798,0.0,0.0048,0.0498,0.5211,0.8325,0.4512,0.0138,0.8271
