signal,signal_strength,combo_size,combo,pass_rate,mean_score,packet_received_rate,classified_rate,route_rate,cascade_rate,avg_missing,avg_distractors,structural_survival,avg_structural_repairs,avg_functional_repairs,worst_task_rate
lora_candidate_repeat_refined,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+ECC+GAIN_CLAMP,0.8925,0.8952,0.7868,0.8258,0.0,0.0002,0.0438,0.5524,0.6552,1.4554,0.0222,0.8783
lora_candidate_repeat_refined,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CARRIER+ECC+SUPPRESSION,0.8924,0.8965,0.7857,0.8276,0.0,0.0009,0.0465,0.5256,0.6528,1.404,0.0197,0.8708
lora_candidate_repeat_refined,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+SUPPRESSION+STATE_BUFFER,0.8923,0.8974,0.7929,0.8349,0.0,0.0003,0.0501,0.5328,0.6416,1.1133,0.017,0.8692
lora_candidate_repeat_refined,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+ECC+SUPPRESSION,0.8918,0.8968,0.7854,0.8231,0.0,0.0002,0.0434,0.5233,0.655,1.4497,0.0222,0.8721
lora_candidate_repeat_refined,0.78,14,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+ECC,0.8896,0.8952,0.7896,0.8222,0.0,0.0002,0.0421,0.5576,0.6985,1.3285,0.0198,0.8738
lora_candidate_repeat_refined,0.78,14,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+SUPPRESSION,0.888,0.8952,0.7848,0.8213,0.0,0.0004,0.0465,0.5292,0.6837,1.0104,0.0172,0.8783
lora_candidate_repeat_refined,0.78,14,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CARRIER+ECC,0.8879,0.8943,0.7833,0.8274,0.0,0.0005,0.0454,0.5572,0.6969,1.2657,0.0229,0.8767
lora_candidate_repeat_refined,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+ECC+SUPPRESSION+STATE_BUFFER,0.8862,0.8941,0.7694,0.8284,0.0,0.0007,0.0473,0.5258,0.653,1.3935,0.0185,0.8642
lora_candidate_repeat_refined,0.78,14,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CARRIER+STATE_BUFFER,0.8843,0.8931,0.7842,0.8351,0.0,0.0007,0.0496,0.5766,0.6836,0.9905,0.0156,0.8721
lora_candidate_repeat_refined,0.78,14,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+STATE_BUFFER,0.8838,0.8941,0.7839,0.8395,0.0,0.0001,0.0507,0.5706,0.6832,1.0257,0.0178,0.8746
lora_candidate_repeat_refined,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+CLOCK+ECC+SUPPRESSION+GAIN_CLAMP,0.8832,0.8935,0.7677,0.8151,0.0,0.0004,0.0463,0.5073,0.6506,1.3802,0.0186,0.8679
lora_candidate_repeat_refined,0.78,14,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+CARRIER,0.8822,0.8927,0.7989,0.8243,0.0,0.0004,0.0533,0.5774,0.6848,1.0132,0.0167,0.8617
