signal,signal_strength,combo_size,combo,pass_rate,mean_score,packet_received_rate,classified_rate,route_rate,cascade_rate,avg_missing,avg_distractors,structural_survival,avg_structural_repairs,avg_functional_repairs,worst_task_rate
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+ECC+SUPPRESSION+STATE_BUFFER,0.8971,0.9004,0.7786,0.8439,0.0,0.0009,0.0421,0.5054,0.6528,1.3761,0.0205,0.8671
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+ECC+GAIN_CLAMP,0.895,0.897,0.7829,0.8334,0.0,0.0002,0.0452,0.5332,0.6553,1.4563,0.0195,0.8757
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CARRIER+ECC+SUPPRESSION,0.8943,0.8969,0.7855,0.8195,0.0,0.0005,0.0413,0.5186,0.6542,1.3957,0.0193,0.87
lora_candidate_repeat,0.78,14,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+ECC,0.8938,0.8921,0.7807,0.8213,0.0,0.0009,0.0441,0.5714,0.6996,1.2954,0.0207,0.8586
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+CLOCK+ECC+SUPPRESSION+GAIN_CLAMP,0.8932,0.8959,0.7698,0.8166,0.0,0.0004,0.0432,0.4913,0.6546,1.3966,0.0189,0.8714
lora_candidate_repeat,0.78,14,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+STATE_BUFFER,0.8932,0.8932,0.7795,0.8307,0.0,0.0002,0.045,0.5734,0.6854,1.0125,0.0175,0.8657
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+ECC+SUPPRESSION,0.8927,0.8974,0.7855,0.8248,0.0,0.0005,0.0429,0.52,0.6552,1.4373,0.0189,0.8714
lora_candidate_repeat,0.78,14,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CARRIER+STATE_BUFFER,0.8925,0.8955,0.7859,0.8366,0.0,0.0002,0.0429,0.5748,0.6821,0.9923,0.015,0.8686
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+SUPPRESSION+STATE_BUFFER,0.8921,0.8992,0.7918,0.84,0.0,0.0,0.052,0.5107,0.6393,1.0957,0.0168,0.8714
lora_candidate_repeat,0.78,14,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+SUPPRESSION,0.8921,0.8987,0.7927,0.8243,0.0,0.0,0.043,0.5164,0.6852,1.0064,0.0175,0.87
lora_candidate_repeat,0.78,14,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+CARRIER,0.8921,0.8945,0.7929,0.8305,0.0,0.0004,0.0482,0.5702,0.6831,1.0073,0.0164,0.87
lora_candidate_repeat,0.78,14,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CARRIER+ECC,0.8912,0.8952,0.7834,0.8318,0.0,0.0007,0.0425,0.5611,0.6965,1.2816,0.0248,0.8757
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+CHECKSUM+ECC,0.8912,0.8947,0.7877,0.8148,0.0,0.0,0.0405,0.5496,0.66,1.5475,0.0195,0.87
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CHECKSUM+SUPPRESSION+GAIN_CLAMP,0.8911,0.8966,0.7707,0.8271,0.0,0.0002,0.0457,0.4982,0.6409,1.1243,0.0164,0.8714
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+CARRIER+ECC,0.8909,0.8955,0.7952,0.8302,0.0,0.0002,0.0452,0.5718,0.6555,1.4414,0.0227,0.8529
lora_candidate_repeat,0.78,21,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+CARRIER+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+CARRIER+STATE_BUFFER+GAIN_CLAMP,0.8907,0.8949,0.8013,0.8366,0.0,0.0,0.0505,0.5886,0.447,1.6664,0.0148,0.8671
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+CHECKSUM+REDUNDANCY,0.8904,0.8932,0.7896,0.8293,0.0,0.0002,0.0466,0.5871,0.6436,1.1827,0.0163,0.8771
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CARRIER+SUPPRESSION+GAIN_CLAMP,0.8904,0.8963,0.7825,0.8252,0.0,0.0009,0.0477,0.5107,0.6405,1.0989,0.0166,0.8457
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+CARRIER+SUPPRESSION,0.89,0.8972,0.8016,0.8309,0.0,0.0005,0.0484,0.5486,0.641,1.1157,0.0159,0.8671
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+REDUNDANCY+STATE_BUFFER+GAIN_CLAMP,0.8896,0.8931,0.7779,0.832,0.0,0.0009,0.0475,0.5629,0.6406,1.0821,0.0189,0.8729
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+CARRIER+GAIN_CLAMP,0.8896,0.8941,0.7918,0.8227,0.0,0.0004,0.0484,0.5586,0.6388,1.0895,0.0161,0.8614
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+ECC+REDUNDANCY,0.8893,0.894,0.7871,0.8295,0.0,0.0011,0.0464,0.5668,0.6539,1.4273,0.0205,0.85
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CARRIER+ECC+GAIN_CLAMP,0.8891,0.8946,0.783,0.8279,0.0,0.0005,0.0443,0.5554,0.652,1.3966,0.0154,0.8757
lora_candidate_repeat,0.78,14,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+CLOCK+ECC+SUPPRESSION,0.8891,0.8952,0.7718,0.8164,0.0,0.0007,0.0395,0.5134,0.696,1.2391,0.0214,0.8614
lora_candidate_repeat,0.78,13,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK,0.8889,0.8936,0.787,0.8298,0.0,0.0,0.0498,0.5684,0.7347,0.9023,0.018,0.8771
