recipe,signal,signal_strength,pass_rate,mean_score,classified_rate,cascade_rate,avg_missing,avg_distractors,worst_task_rate,bundle
functional_plus_guards,overdrive,1.18,0.9962,0.9978,0.995,0.0,0.0073,0.0018,0.992,ROUTE_TASK+CHAIN_LOCK+CASCADE_GUARD+DISTRACTOR_SUPPRESS+FINAL_ANSWER_GATE+EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK
functional_plus_guards,very_strong,0.7,0.993,0.9969,0.996,0.0,0.0118,0.0,0.98,ROUTE_TASK+CHAIN_LOCK+CASCADE_GUARD+DISTRACTOR_SUPPRESS+FINAL_ANSWER_GATE+EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK
functional_plus_guards,strong,0.46,0.9918,0.9965,0.9932,0.0,0.012,0.0,0.984,ROUTE_TASK+CHAIN_LOCK+CASCADE_GUARD+DISTRACTOR_SUPPRESS+FINAL_ANSWER_GATE+EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK
functional_plus_guards,saturated,0.95,0.9905,0.9964,0.9935,0.0,0.0125,0.0,0.976,ROUTE_TASK+CHAIN_LOCK+CASCADE_GUARD+DISTRACTOR_SUPPRESS+FINAL_ANSWER_GATE+EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK
functional_plus_route,overdrive,1.18,0.9387,0.9471,0.9972,0.044,0.0238,0.4587,0.93,ROUTE_TASK+EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK
functional_plus_route,saturated,0.95,0.928,0.9448,0.974,0.056,0.023,0.3812,0.912,ROUTE_TASK+EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK
functional_plus_route,very_strong,0.7,0.9155,0.9357,0.9097,0.0683,0.0245,0.3008,0.892,ROUTE_TASK+EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK
functional_10,overdrive,1.18,0.9115,0.9131,0.8257,0.068,0.018,0.455,0.892,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK
functional_10,saturated,0.95,0.9008,0.905,0.7608,0.0732,0.0222,0.3817,0.878,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK
functional_10,very_strong,0.7,0.8982,0.9018,0.7173,0.0848,0.0187,0.2835,0.872,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK
functional_plus_route,strong,0.46,0.8085,0.8933,0.8435,0.0845,0.159,0.2323,0.742,ROUTE_TASK+EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK
compact_general_guard,overdrive,1.18,0.797,0.9036,0.9765,0.0,0.4255,0.034,0.522,ROUTE_TASK+CHAIN_LOCK+CASCADE_GUARD+DISTRACTOR_SUPPRESS+FINAL_ANSWER_GATE+EXTRACT_GIVENS+SOURCE_BOUNDARY+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK
compact_general_guard,saturated,0.95,0.7778,0.8958,0.967,0.0,0.46,0.0073,0.484,ROUTE_TASK+CHAIN_LOCK+CASCADE_GUARD+DISTRACTOR_SUPPRESS+FINAL_ANSWER_GATE+EXTRACT_GIVENS+SOURCE_BOUNDARY+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK
compact_general_guard,very_strong,0.7,0.762,0.8874,0.9553,0.0,0.4933,0.0013,0.458,ROUTE_TASK+CHAIN_LOCK+CASCADE_GUARD+DISTRACTOR_SUPPRESS+FINAL_ANSWER_GATE+EXTRACT_GIVENS+SOURCE_BOUNDARY+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK
compact_math_guard,overdrive,1.18,0.7485,0.8968,0.9722,0.0,0.3417,0.3683,0.226,ROUTE_TASK+CHAIN_LOCK+CASCADE_GUARD+FINAL_ANSWER_GATE+EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+ORIGINAL_TASK_RETURN
compact_math_guard,saturated,0.95,0.7258,0.8897,0.962,0.001,0.369,0.319,0.22,ROUTE_TASK+CHAIN_LOCK+CASCADE_GUARD+FINAL_ANSWER_GATE+EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+ORIGINAL_TASK_RETURN
compact_general_guard,strong,0.46,0.7248,0.8705,0.9345,0.0,0.5563,0.0,0.402,ROUTE_TASK+CHAIN_LOCK+CASCADE_GUARD+DISTRACTOR_SUPPRESS+FINAL_ANSWER_GATE+EXTRACT_GIVENS+SOURCE_BOUNDARY+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK
compact_math_guard,very_strong,0.7,0.7198,0.8842,0.9575,0.0015,0.395,0.283,0.192,ROUTE_TASK+CHAIN_LOCK+CASCADE_GUARD+FINAL_ANSWER_GATE+EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+ORIGINAL_TASK_RETURN
compact_math_guard,strong,0.46,0.6993,0.8753,0.943,0.0013,0.4265,0.2437,0.168,ROUTE_TASK+CHAIN_LOCK+CASCADE_GUARD+FINAL_ANSWER_GATE+EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+ORIGINAL_TASK_RETURN
minimal_stabilized_core,overdrive,1.18,0.6897,0.8697,0.9812,0.0005,0.5088,0.25,0.242,ROUTE_TASK+CHAIN_LOCK+CASCADE_GUARD+FINAL_ANSWER_GATE+EXTRACT_GIVENS+MAP_RELATION+VERIFY_RESULT+ORIGINAL_TASK_RETURN
minimal_stabilized_core,saturated,0.95,0.6583,0.8582,0.9778,0.0005,0.5503,0.254,0.264,ROUTE_TASK+CHAIN_LOCK+CASCADE_GUARD+FINAL_ANSWER_GATE+EXTRACT_GIVENS+MAP_RELATION+VERIFY_RESULT+ORIGINAL_TASK_RETURN
minimal_stabilized_core,very_strong,0.7,0.6415,0.8446,0.9677,0.001,0.6028,0.2565,0.198,ROUTE_TASK+CHAIN_LOCK+CASCADE_GUARD+FINAL_ANSWER_GATE+EXTRACT_GIVENS+MAP_RELATION+VERIFY_RESULT+ORIGINAL_TASK_RETURN
functional_10,strong,0.46,0.6125,0.7804,0.6472,0.1265,0.4612,0.2263,0.486,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK
minimal_stabilized_core,strong,0.46,0.6038,0.8312,0.941,0.0018,0.6465,0.2343,0.212,ROUTE_TASK+CHAIN_LOCK+CASCADE_GUARD+FINAL_ANSWER_GATE+EXTRACT_GIVENS+MAP_RELATION+VERIFY_RESULT+ORIGINAL_TASK_RETURN
