packet,signal,payload_size,transport_size,pass_rate,mean_score,packet_received_rate,classified_rate,drift_rate,cascade_rate,avg_missing,worst_task_rate
rf_transport_stabilized,saturated,15,7,0.9973,0.9987,0.9896,0.995,0.0,0.0,0.0046,0.9917
rf_transport_functional,saturated,10,7,0.9958,0.9978,0.996,0.995,0.0,0.0,0.0075,0.9883
rf_transport_stabilized,strong,15,7,0.9952,0.9976,0.9235,0.9954,0.0,0.0,0.0096,0.99
rf_transport_functional,strong,10,7,0.9921,0.9952,0.955,0.9819,0.0,0.0,0.0127,0.975
rf_transport_stabilized,normal,15,7,0.9919,0.9963,0.8694,0.9946,0.0,0.0,0.0148,0.9817
framed_stabilized,saturated,15,4,0.9835,0.9941,0.9321,0.9948,0.0023,0.0,0.0223,0.9583
framed_stabilized,strong,15,4,0.9815,0.9935,0.8629,0.9969,0.005,0.0,0.0235,0.94
framed_stabilized,normal,15,4,0.9742,0.9897,0.7915,0.9929,0.0025,0.0,0.041,0.9483
rf_transport_functional,normal,10,7,0.966,0.9797,0.8952,0.9296,0.0,0.0,0.055,0.9467
framed_functional,saturated,10,4,0.9469,0.983,0.9537,0.9879,0.0387,0.0046,0.0208,0.8933
framed_functional,strong,10,4,0.944,0.9788,0.8915,0.9642,0.0396,0.004,0.0277,0.8867
framed_functional,normal,10,4,0.8577,0.9308,0.8283,0.9058,0.0417,0.0069,0.1977,0.7833
raw_stabilized,strong,15,0,0.835,0.9359,0.6735,0.8729,0.1537,0.016,0.021,0.7733
raw_stabilized,saturated,15,0,0.8348,0.9442,0.7348,0.9325,0.1546,0.0117,0.0213,0.7667
raw_stabilized,normal,15,0,0.7377,0.887,0.6162,0.8146,0.1583,0.0148,0.1856,0.6717
raw_functional,saturated,10,0,0.7008,0.8383,0.7662,0.6763,0.2135,0.1223,0.0183,0.645
raw_functional,strong,10,0,0.6138,0.7824,0.7052,0.5967,0.2246,0.1567,0.1462,0.5233
raw_functional,normal,10,0,0.334,0.595,0.6448,0.5406,0.2121,0.1927,0.9448,0.2633
