substrate,quant,stack,family,trials,pass_rate,clean_pass_rate,mean_score,cascade_rate,echo_rate
base,damaged_q2,all_three_balanced,boundary,1200,0.8083,0.4858,0.9166,0.1433,0.1442
base,damaged_q2,all_three_balanced,generalist,1200,0.705,0.4692,0.8837,0.1408,0.1175
base,damaged_q2,all_three_balanced,math,4800,0.6465,0.461,0.8124,0.149,0.1321
base,damaged_q2,all_three_balanced,rhetoric,1200,0.7167,0.4458,0.889,0.1158,0.1375
base,damaged_q2,all_three_balanced,spatial,1200,0.6492,0.4317,0.8628,0.1417,0.1325
base,damaged_q2,all_three_naive_all_fire,boundary,1200,0.4275,0.1683,0.7286,0.2342,0.3092
base,damaged_q2,all_three_naive_all_fire,generalist,1200,0.16,0.0767,0.5143,0.2467,0.275
base,damaged_q2,all_three_naive_all_fire,math,4800,0.12,0.0877,0.3981,0.2658,0.281
base,damaged_q2,all_three_naive_all_fire,rhetoric,1200,0.1708,0.0792,0.5056,0.2417,0.3
base,damaged_q2,all_three_naive_all_fire,spatial,1200,0.1225,0.06,0.47,0.2442,0.3
base,damaged_q2,baseline,boundary,1200,0.0008,0.0,0.0294,0.675,0.0
base,damaged_q2,baseline,generalist,1200,0.0033,0.0025,0.066,0.5225,0.0
base,damaged_q2,baseline,math,4800,0.0035,0.0031,0.0687,0.5077,0.0
base,damaged_q2,baseline,rhetoric,1200,0.0033,0.0025,0.0665,0.5292,0.0
base,damaged_q2,baseline,spatial,1200,0.0033,0.0025,0.0727,0.5092,0.0
base,damaged_q2,cognitive_only,boundary,1200,0.01,0.0033,0.142,0.5408,0.0283
base,damaged_q2,cognitive_only,generalist,1200,0.0242,0.0175,0.2635,0.3842,0.0258
base,damaged_q2,cognitive_only,math,4800,0.0342,0.0279,0.2148,0.4092,0.0335
base,damaged_q2,cognitive_only,rhetoric,1200,0.0192,0.01,0.238,0.4267,0.0275
base,damaged_q2,cognitive_only,spatial,1200,0.0217,0.0142,0.2394,0.39,0.0217
base,damaged_q2,cognitive_plus_cyber,boundary,1200,0.2108,0.1225,0.5748,0.3567,0.095
