substrate,quant,stack,pass_lift,clean_pass_lift,score_lift,cascade_delta,echo_delta
base,damaged_q2,all_three_balanced,0.68,0.4571,0.7865,-0.3911,0.1325
base,damaged_q2,all_three_naive_all_fire,0.167,0.0894,0.4127,-0.2796,0.2885
base,damaged_q2,cognitive_only,0.0234,0.0171,0.1541,-0.111,0.0297
base,damaged_q2,cognitive_plus_cyber,0.0972,0.0665,0.3284,-0.1971,0.089
base,damaged_q2,cognitive_plus_structural,0.3853,0.2753,0.6262,-0.3327,0.0638
base,damaged_q2,cyber_only,0.0243,0.0152,0.1469,-0.1256,0.0574
base,damaged_q2,cyber_plus_structural,0.3685,0.2655,0.5843,-0.3382,0.1069
base,damaged_q2,structural_only,0.1428,0.1096,0.3779,-0.2474,0.0477
base,damaged_q3,all_three_balanced,0.8175,0.5751,0.6376,-0.1794,0.1314
base,damaged_q3,all_three_naive_all_fire,0.5065,0.2747,0.4721,-0.1279,0.2879
base,damaged_q3,cognitive_only,0.1555,0.1243,0.245,-0.069,0.0331
base,damaged_q3,cognitive_plus_cyber,0.3852,0.2761,0.4219,-0.1152,0.0935
base,damaged_q3,cognitive_plus_structural,0.8084,0.595,0.6325,-0.1704,0.0627
base,damaged_q3,cyber_only,0.1523,0.116,0.2228,-0.079,0.0621
base,damaged_q3,cyber_plus_structural,0.7766,0.5776,0.6077,-0.1777,0.107
base,damaged_q3,structural_only,0.5352,0.4212,0.4844,-0.1425,0.043
base,healthy_q6,all_three_balanced,0.4964,0.322,0.2644,-0.0295,0.1308
base,healthy_q6,all_three_naive_all_fire,0.4626,0.1389,0.2287,-0.002,0.2859
base,healthy_q6,cognitive_only,0.4011,0.3249,0.2217,-0.0191,0.0304
base,healthy_q6,cognitive_plus_cyber,0.4849,0.3369,0.2605,-0.0236,0.093
base,healthy_q6,cognitive_plus_structural,0.4986,0.3827,0.2652,-0.0289,0.0601
base,healthy_q6,cyber_only,0.3259,0.2491,0.179,-0.0166,0.0596
base,healthy_q6,cyber_plus_structural,0.4999,0.36,0.2672,-0.0298,0.1089
base,healthy_q6,structural_only,0.5007,0.4017,0.2657,-0.0282,0.044
degraded_instruct,damaged_q2,all_three_balanced,0.5089,0.3299,0.6921,-0.3795,0.1395
degraded_instruct,damaged_q2,all_three_naive_all_fire,0.1022,0.0526,0.3161,-0.2582,0.3026
degraded_instruct,damaged_q2,cognitive_only,0.0105,0.0082,0.1036,-0.0868,0.0375
degraded_instruct,damaged_q2,cognitive_plus_cyber,0.0365,0.0235,0.2109,-0.1517,0.1086
degraded_instruct,damaged_q2,cognitive_plus_structural,0.2963,0.211,0.5557,-0.3215,0.0697
degraded_instruct,damaged_q2,cyber_only,0.0136,0.0076,0.1043,-0.1002,0.068
degraded_instruct,damaged_q2,cyber_plus_structural,0.3138,0.2205,0.5406,-0.3313,0.1113
degraded_instruct,damaged_q2,structural_only,0.155,0.1176,0.393,-0.2585,0.045
degraded_instruct,damaged_q3,all_three_balanced,0.8092,0.5374,0.6293,-0.1677,0.1405
degraded_instruct,damaged_q3,all_three_naive_all_fire,0.3592,0.1828,0.3689,-0.1,0.3028
degraded_instruct,damaged_q3,cognitive_only,0.0851,0.0648,0.1617,-0.041,0.0407
degraded_instruct,damaged_q3,cognitive_plus_cyber,0.2119,0.1475,0.2907,-0.0751,0.1041
degraded_instruct,damaged_q3,cognitive_plus_structural,0.7822,0.5749,0.6158,-0.1549,0.0669
degraded_instruct,damaged_q3,cyber_only,0.0929,0.0659,0.1547,-0.0437,0.0704
degraded_instruct,damaged_q3,cyber_plus_structural,0.6999,0.5086,0.5658,-0.1531,0.1166
degraded_instruct,damaged_q3,structural_only,0.5613,0.438,0.492,-0.1335,0.0444
degraded_instruct,healthy_q6,all_three_balanced,0.4952,0.2977,0.261,-0.0214,0.1462
degraded_instruct,healthy_q6,all_three_naive_all_fire,0.442,0.1129,0.2159,0.0151,0.305
degraded_instruct,healthy_q6,cognitive_only,0.2771,0.2124,0.1655,-0.008,0.0339
degraded_instruct,healthy_q6,cognitive_plus_cyber,0.4345,0.2878,0.2296,-0.0112,0.0998
degraded_instruct,healthy_q6,cognitive_plus_structural,0.4954,0.3706,0.2619,-0.0236,0.0681
degraded_instruct,healthy_q6,cyber_only,0.2351,0.1693,0.1287,-0.0023,0.0674
degraded_instruct,healthy_q6,cyber_plus_structural,0.4973,0.3487,0.2627,-0.023,0.112
degraded_instruct,healthy_q6,structural_only,0.4966,0.4021,0.2634,-0.0238,0.0477
instruct,damaged_q2,all_three_balanced,0.2989,0.1945,0.5434,-0.3425,0.1272
instruct,damaged_q2,all_three_naive_all_fire,0.0371,0.0204,0.1851,-0.2008,0.2888
instruct,damaged_q2,cognitive_only,0.0038,0.0028,0.0515,-0.0576,0.0357
instruct,damaged_q2,cognitive_plus_cyber,0.0108,0.0065,0.1047,-0.1057,0.1016
instruct,damaged_q2,cognitive_plus_structural,0.1824,0.134,0.4364,-0.2921,0.0596
instruct,damaged_q2,cyber_only,0.006,0.0027,0.0617,-0.0791,0.0628
instruct,damaged_q2,cyber_plus_structural,0.2187,0.1505,0.4492,-0.3054,0.1026
instruct,damaged_q2,structural_only,0.1338,0.1004,0.3599,-0.2578,0.0398
instruct,damaged_q3,all_three_balanced,0.7055,0.4703,0.5746,-0.1468,0.126
instruct,damaged_q3,all_three_naive_all_fire,0.1989,0.0989,0.2465,-0.0793,0.2917
instruct,damaged_q3,cognitive_only,0.041,0.0268,0.0809,-0.016,0.039
instruct,damaged_q3,cognitive_plus_cyber,0.0906,0.0582,0.1579,-0.0297,0.0969
instruct,damaged_q3,cognitive_plus_structural,0.6081,0.449,0.5335,-0.1367,0.0579
instruct,damaged_q3,cyber_only,0.0563,0.0375,0.1027,-0.0319,0.0615
instruct,damaged_q3,cyber_plus_structural,0.5733,0.4259,0.4997,-0.1434,0.097
instruct,damaged_q3,structural_only,0.4944,0.3869,0.4614,-0.1347,0.0398
instruct,healthy_q6,all_three_balanced,0.4821,0.2807,0.2577,-0.0122,0.1313
instruct,healthy_q6,all_three_naive_all_fire,0.3652,0.0725,0.1742,0.0163,0.2884
instruct,healthy_q6,cognitive_only,0.1307,0.0928,0.0907,-0.0017,0.0338
instruct,healthy_q6,cognitive_plus_cyber,0.2366,0.1273,0.1343,0.0086,0.0985
instruct,healthy_q6,cognitive_plus_structural,0.4953,0.3675,0.264,-0.0242,0.0574
instruct,healthy_q6,cyber_only,0.1485,0.0913,0.0812,-0.0027,0.0602
instruct,healthy_q6,cyber_plus_structural,0.4913,0.3398,0.2639,-0.0196,0.1025
instruct,healthy_q6,structural_only,0.5046,0.4059,0.2681,-0.0333,0.044
