substrate,quant,stack,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors
base,damaged_q2,all_three_balanced,9600,0.6831,0.4596,0.8502,0.9828,0.1422,0.1325,0.276
base,damaged_q2,all_three_naive_all_fire,9600,0.1701,0.0919,0.4764,0.7114,0.2537,0.2885,0.4076
base,damaged_q2,baseline,9600,0.0031,0.0025,0.0637,0.3122,0.5333,0.0,0.4405
base,damaged_q2,cognitive_only,9600,0.0265,0.0196,0.2178,0.6096,0.4223,0.0297,0.4161
base,damaged_q2,cognitive_plus_cyber,9600,0.1003,0.069,0.3921,0.7667,0.3362,0.089,0.3618
base,damaged_q2,cognitive_plus_structural,9600,0.3884,0.2778,0.6899,0.9161,0.2006,0.0638,0.3459
base,damaged_q2,cyber_only,9600,0.0274,0.0177,0.2106,0.5149,0.4077,0.0574,0.3695
base,damaged_q2,cyber_plus_structural,9600,0.3716,0.268,0.648,0.7529,0.1951,0.1069,0.2687
base,damaged_q2,structural_only,9600,0.1459,0.1121,0.4416,0.6025,0.2859,0.0477,0.3545
base,damaged_q3,all_three_balanced,9600,0.8805,0.63,0.9458,0.9896,0.0911,0.1314,0.1882
base,damaged_q3,all_three_naive_all_fire,9600,0.5695,0.3296,0.7803,0.9012,0.1426,0.2879,0.2794
base,damaged_q3,baseline,9600,0.063,0.0549,0.3082,0.5497,0.2705,0.0,0.2682
base,damaged_q3,cognitive_only,9600,0.2185,0.1792,0.5532,0.8429,0.2015,0.0331,0.2522
base,damaged_q3,cognitive_plus_cyber,9600,0.4482,0.331,0.7301,0.9434,0.1553,0.0935,0.2399
base,damaged_q3,cognitive_plus_structural,9600,0.8714,0.6499,0.9407,0.991,0.1001,0.0627,0.2193
base,damaged_q3,cyber_only,9600,0.2153,0.1709,0.531,0.7295,0.1915,0.0621,0.2293
base,damaged_q3,cyber_plus_structural,9600,0.8396,0.6325,0.9159,0.9228,0.0928,0.107,0.1823
base,damaged_q3,structural_only,9600,0.5982,0.4761,0.7926,0.8205,0.128,0.043,0.2157
base,healthy_q6,all_three_balanced,9600,0.9239,0.7134,0.9642,0.9886,0.0475,0.1308,0.1177
base,healthy_q6,all_three_naive_all_fire,9600,0.8901,0.5303,0.9285,0.9886,0.075,0.2859,0.1775
base,healthy_q6,baseline,9600,0.4275,0.3914,0.6998,0.794,0.077,0.0,0.1292
base,healthy_q6,cognitive_only,9600,0.8286,0.7163,0.9215,0.9895,0.0579,0.0304,0.1232
base,healthy_q6,cognitive_plus_cyber,9600,0.9124,0.7283,0.9603,0.9904,0.0534,0.093,0.1266
base,healthy_q6,cognitive_plus_structural,9600,0.9261,0.7741,0.965,0.99,0.0481,0.0601,0.1164
base,healthy_q6,cyber_only,9600,0.7534,0.6405,0.8788,0.9322,0.0604,0.0596,0.116
base,healthy_q6,cyber_plus_structural,9600,0.9274,0.7514,0.967,0.9924,0.0472,0.1089,0.0988
base,healthy_q6,structural_only,9600,0.9282,0.7931,0.9655,0.99,0.0488,0.044,0.1105
